"","Sample","Site","Warming","Horizon","Experiment.duration","Plot","Timepoint","Timepoint_days","MBC","BG","NAG","OX","Respiration","avg.C","avg.N","log.mbc","log.n","log.resp","log.bg","OX.std","avg.C.std","log.mbc.std","log.n.std","log.resp.std","log.bg.std","meanFunction"
"1","PS01","PH","Control","Mineral",28,9,"July",197,259.2538837,1727.342,1658.4173,0.005023535,0.199389719,0.0464335555,0.002221828,5.55780782751816,-6.10942499850161,-1.61249398246268,7.45433908980917,0.0252483820868061,0.0791890354262851,0.65731477834043,0.0831691109894625,0.0930394155246444,0.796404653754195,0.289060896020304
"2","PS02","SWaN","Control","Organic",13,19,"July",197,1345.288814,4396.2355,6082.0442,0.00831234,2.158465746,0.215651034,0.009867249,7.20436400058292,-4.61853418779159,0.769397666533758,8.38850388551718,0.0417779783271027,0.3677770781766,0.852050857656514,0.773354618728122,0.773499249129937,0.896208698312925,0.617444746721867
"3","PS03","SWaN","Control","Organic",13,20,"July",197,890.3547779,3393.3356,2606.9278,0.012302767,1.450765426,0.165418908,0.007520078,6.79162001014954,-4.89017876873376,0.372091297152849,8.12956866941261,0.061833940032457,0.282109858371483,0.8032361571482,0.647600840064253,0.659996594165273,0.868544648067552,0.553887006308203
"4","PS04","SWaN","Heated","Mineral",13,8,"July",197,274.4990098,1423.5886,791.5336,0.005642689,0.198019036,0.0614782135,0.003316811,5.6149476536571,-5.70875149983867,-1.61939211149475,7.2609361457366,0.0283602618214102,0.104846600144506,0.664072632033565,0.268654889106511,0.0910687550475709,0.775741922577969,0.322124176788589
"5","PS05","PH","Heated","Mineral",28,15,"July",197,159.4079367,1068.7353,801.3833,0.003078199,0.19633257,0.0425582245,0.002091543,5.07146655620817,-6.16985320788624,-1.62794527195189,6.97423126577041,0.0154710864941171,0.0725799416245498,0.599795822149445,0.0551947790824812,0.088625284479161,0.745111024532123,0.262796323060313
"6","PS06","PH","Heated","Organic",28,8,"July",197,1409.502605,2258.5012,4890.2236,0.007642045,2.181482464,0.183842811,0.009033455,7.25099215872557,-4.70682037122061,0.780004675043603,7.72245668642062,0.0384090629575719,0.31353047847363,0.85756550990523,0.732483856162186,0.776529463895877,0.825049728672596,0.590594683344515
"7","PS07","PH","Control","Organic",28,10,"July",197,1505.312316,3270.101,4652.8114,0.007153907,1.878197713,0.1115343245,0.0100103365,7.31675567459078,-4.60413706983641,0.630312653732433,8.09257615026446,0.0359556721212207,0.190213639230734,0.865343276282793,0.780019548241731,0.733765382684897,0.864592451360543,0.578314994986986
"8","PS08","SWaN","Control","Organic",13,14,"July",197,1131.597881,5002.2827,2002.6437,0.009788489,1.336944495,0.188819554,0.0083127675,7.03138596685585,-4.78996269306682,0.29038678267316,8.51764962723356,0.0491971311684896,0.322017949947454,0.831592968246572,0.693994367055557,0.636655213229212,0.910006335967492,0.573910660935796
"9","PS09","SWaN","Heated","Organic",13,8,"July",197,925.9878035,5998.4483,2397.7579,0.008489464,1.415099023,0.1861459405,0.0084732265,6.83086106339313,-4.77084391015096,0.347199509565379,8.69925609809647,0.0426682069069261,0.317458297517485,0.807877146008402,0.702845120443623,0.652885497551351,0.929408758744962,0.575523837862125
"10","PS10","PH","Heated","Organic",28,12,"July",197,306.8628766,5020.5867,3313.5609,0.00703864,1.030792266,0.140422831,0.006361839,5.72640099178062,-5.05743779248279,0.030327696857565,8.52130207836668,0.0353763379953512,0.239480875823051,0.67725407488253,0.570170787238908,0.562361421428824,0.910396555548997,0.499173342152943
"11","PS11","PH","Heated","Mineral",28,8,"July",197,336.2059113,1027.2401,583.2227,0.004972987,0.292414579,0.060583188,0.0030188105,5.81772380350882,-5.80289239935635,-1.22958269256835,6.93463097033572,0.0249943268811145,0.103320199564931,0.688054706284596,0.22507377366477,0.202429677972924,0.740880218930947,0.33079215054988
"12","PS12","SWaN","Heated","Organic",13,13,"July",197,918.5870721,3305.0525,1871.4623,0.010829787,1.825099622,0.180943284,0.0073159515,6.82283669831128,-4.91769817778112,0.601634572941877,8.10320763718231,0.0544307146451105,0.308585547079727,0.806928114678281,0.634861142985444,0.725572616195673,0.865728295270471,0.566017738475785
"13","PS13","PH","Heated","Organic",28,1,"July",197,1265.156946,7244.4113,3244.5974,0.01119409,2.262403139,0.1589730065,0.0072182695,7.14295146145001,-4.93114003624603,0.816427584183793,8.88798559541469,0.0562617084252613,0.271116844445641,0.844787675696965,0.628638436504923,0.786934776288402,0.949572189486984,0.589551938474696
"14","PS14","PH","Control","Organic",28,9,"July",197,782.1162572,5553.2513,6397.7255,0.009518614,1.330024225,0.1337228485,0.006221574,6.66200339599171,-5.0797323495816,0.285197156353499,8.62213885503485,0.0478407343053888,0.228054545320576,0.787906567020496,0.559849856892758,0.635172638543903,0.921169727689489,0.529999011628769
"15","PS15","SWaN","Control","Mineral",13,19,"July",197,129.4423407,1484.351,1227.8308,0.004158637,0.251306719,0.043719929,0.0023609855,4.86323553642851,-6.0486761623631,-1.38108109782225,7.30273291867124,0.0209013883522916,0.0745611437490646,0.575168607452964,0.111291872236357,0.159149548218084,0.780207394845332,0.286879992475682
