Year,S4-Deciduous,S2-Deciduous,S5-Deciduous,S6-Deciduous,S7-Deciduous,S8-Wetland,S9-Hemlock,S10-Deciduous,S3-Hemlock,S11-Deciduous,S12-Deciduous,S13-Deciduous,S17-Hemlock,S18-Deciduous,S18-Hemlock,S18-Mixed,S18-Red pine plantation,S18-Wetland,S19-Deciduous,S20-Deciduous,S21-Deciduous,S21-Mixed,S21-Wetland,S23-Deciduous,S23-Wetland,S15-Deciduous,S22-Deciduous,S16-Deciduous,S16-Red pine plantation
1992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,570.1273676,NaN,NaN,NaN,NaN,NaN,NaN,594.1252169,NaN,NaN
1993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,589.0267307,NaN,NaN,NaN,NaN,NaN,NaN,904.8549208,NaN,NaN
1994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,805.6827069,NaN,NaN,NaN,NaN,NaN,NaN,722.5477075,NaN,NaN
1995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,457.608353,NaN,NaN,NaN,NaN,NaN,NaN,712.9688269,NaN,NaN
1996,NaN,NaN,NaN,NaN,NaN,356.150777,792.3807914,783.4917352,NaN,798.6056613,740.6926676,956.2346425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,496.7751372,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1997,NaN,NaN,551.2420488,550.0870581,NaN,350.7548911,595.6128392,587.3861567,NaN,596.9409195,642.3650526,856.1198504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,498.3883334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1998,NaN,NaN,NaN,NaN,NaN,392.321605,709.7138679,928.5235066,NaN,941.5969749,817.8706117,948.0522314,746.4394754,NaN,NaN,NaN,NaN,NaN,NaN,716.2979277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999,NaN,NaN,NaN,NaN,NaN,335.8005004,437.9755723,434.0546445,NaN,554.615478,423.9951149,444.1296266,727.4389049,NaN,NaN,NaN,NaN,NaN,NaN,550.6339425,715.9998634,643.3216238,481.9137977,NaN,NaN,NaN,NaN,NaN,NaN
2000,NaN,NaN,NaN,NaN,NaN,NaN,685.1903086,832.9672909,NaN,898.3025395,683.111994,954.1746974,763.0776888,NaN,NaN,NaN,NaN,NaN,NaN,598.7694582,580.8022963,695.6081732,NaN,NaN,NaN,NaN,849.9136963,NaN,NaN
2001,NaN,NaN,NaN,NaN,NaN,NaN,667.4801444,863.042361,NaN,821.9481454,846.5635711,NaN,596.2583531,NaN,NaN,NaN,NaN,NaN,NaN,532.9690885,NaN,NaN,NaN,NaN,NaN,NaN,827.0969148,NaN,NaN
2002,NaN,650.0777935,NaN,NaN,NaN,NaN,NaN,918.7360374,NaN,868.7301486,911.4549906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,589.5246359,909.5377165,896.5987254,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003,NaN,746.4982326,NaN,NaN,NaN,418.9771911,657.8998054,984.7514577,NaN,882.7793691,721.2362631,NaN,NaN,714.6834615,NaN,624.6220724,698.9006928,NaN,742.83562,NaN,993.0374618,942.8522452,NaN,728.7919317,604.5190758,NaN,NaN,NaN,NaN
2004,NaN,NaN,NaN,NaN,NaN,399.0933098,797.5758609,986.8945918,584.7368384,NaN,NaN,NaN,707.94634,810.1338387,619.1158925,829.8857554,793.7750064,557.0689679,769.7252819,NaN,NaN,NaN,NaN,798.0696319,593.0813412,NaN,NaN,NaN,NaN
2005,NaN,NaN,NaN,NaN,NaN,498.948287,824.5015352,937.5526819,726.0260739,NaN,NaN,NaN,647.8960468,653.9228837,603.0992263,579.0155147,720.6039599,752.3809513,699.2634025,NaN,NaN,NaN,NaN,875.4768105,675.148959,NaN,NaN,NaN,NaN
2006,655.9230891,NaN,NaN,NaN,727.7358616,453.7817932,652.0131263,733.9622302,611.67777,NaN,NaN,NaN,548.8200432,656.154584,570.9663502,549.5525979,680.8868452,543.0171282,722.3513052,NaN,NaN,NaN,NaN,722.022069,595.1670184,NaN,NaN,NaN,NaN
2007,650.5682227,NaN,NaN,NaN,634.718066,NaN,749.7494296,761.2869647,595.7078443,NaN,NaN,NaN,672.4682109,778.5740065,732.0112417,719.4205571,696.7897458,562.8702771,660.501734,NaN,NaN,NaN,NaN,NaN,NaN,343.4657072,NaN,NaN,NaN
