Year,S2-Drydown,S3-Girdled,S3-Logged,S21-Partially logged,S19-Warming,S20-Warming,S20-Disturbance control,S15-Warming,S15-Warming+fertilized,S15-Fertilized,S16-Hardwood-high fert.,S16-Hardwood low fert.,S16-Pine high fert.,S16-Pine low fert.,S22-Double litter,S22-No litter,S22-Trenching,S22-Trenching+no litter,S22-No O/A horizons
1992,NaN,NaN,NaN,NaN,NaN,1.235438129,1.053916469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.380702058,0.945717508,0.611606397,0.643478251,0.481511128
1993,NaN,NaN,NaN,NaN,NaN,1.263171655,1.052192704,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.072191509,0.818825468,0.642518347,0.640091511,0.497624516
1994,NaN,NaN,NaN,NaN,NaN,1.116404332,0.991220357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.308751597,0.876888034,0.471990834,0.615607508,0.311415375
1995,NaN,NaN,NaN,NaN,NaN,1.249526468,0.991991268,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.265959308,0.740664677,0.456321711,0.588166445,0.29865887
1996,NaN,NaN,NaN,NaN,NaN,1.124892192,1.04721227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1997,NaN,NaN,NaN,NaN,NaN,1.074717812,1.002875363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1998,NaN,NaN,NaN,NaN,NaN,1.048489889,1.029553803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999,NaN,NaN,NaN,NaN,NaN,0.941158638,1.055493704,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,NaN,NaN,NaN,NaN,NaN,1.018621727,1.010154695,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.88770253,0.682091005,0.336259159,0.39820673,0.356100759
2001,0.795437538,NaN,NaN,NaN,NaN,0.988547195,1.088213633,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.063766724,0.76926015,0.297845264,0.29961159,0.474835663
2002,0.680034997,NaN,NaN,0.806302115,NaN,0.868344517,0.997366391,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003,NaN,NaN,NaN,0.859411099,1.267517379,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,NaN,NaN,NaN,NaN,1.050126534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2005,NaN,0.799586284,1.014917347,NaN,1.080355521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006,NaN,0.959484682,0.862334787,NaN,0.995356483,NaN,NaN,1.407076932,1.306624652,1.262021625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2007,NaN,0.778485551,0.790652329,NaN,1.065501262,NaN,NaN,1.373698406,1.401312842,1.161663155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008,NaN,0.6929921,1.009318968,NaN,1.007543194,NaN,NaN,1.516140222,1.521569201,1.269973196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009,NaN,0.711271311,1.015763012,NaN,1.000039107,NaN,NaN,1.345658734,1.347386879,1.189981552,0.748672751,0.867964849,0.925104058,0.877702085,NaN,NaN,NaN,NaN,NaN
Mean,0.737736267,0.788363986,0.938597289,0.832856607,1.066634211,1.08448296,1.029108242,1.410643573,1.394223393,1.220909882,0.748672751,0.867964849,0.925104058,0.877702085,1.163178954,0.805574474,0.469423619,0.530860339,0.403357719
