Deciduous,Hemlock,Mixed,Red pine plantation,Wetlands
3.470799848,1.55700171,3.24367894,2.522314165,3.984637291
3.166946924,0.637596214,3.430652289,2.97499499,4.22737201
2.82817936,3.864687301,3.029089105,2.912053195,3.458899616
2.787266345,2.902255577,2.955383938,3.621481651,4.320250265
3.958292516,2.779838123,2.891787906,2.316608006,5.594009319
2.73778144,1.267306914,3.090591323,2.369847142,3.267732831
2.629961076,3.480278188,3.29103036,2.336621089,4.11449889
2.834850998,1.917688639,2.361898891,2.263129595,4.983278892
3.93395711,3.476322203,1.9590713,2.108884533,3.975270399
2.294914005,3.832806403,2.69023643,2.341958504,3.503449081
3.102569971,2.221280506,2.772792806,2.439262142,3.417031296
2.738374956,2.550011621,2.615975011,2.377619201,4.789307918
2.389501522,1.913884967,2.611879994,2.326783449,3.400096043
3.071391955,1.157097678,3.253209076,NaN,4.204042667
4.100147253,1.585305416,2.769296652,NaN,4.179740742
3.249252609,1.973896373,3.419240926,NaN,4.661267816
2.985944827,1.712906485,2.946642284,NaN,4.357154589
1.748763842,2.400253942,2.265926801,NaN,3.333812805
2.148701335,2.095061685,2.333551741,NaN,3.828784888
3.885233766,1.344991964,3.138475771,NaN,2.54359287
2.836167941,1.818863664,2.750844875,NaN,3.235899634
4.107343797,1.434563019,3.419248167,NaN,NaN
3.879519562,1.729227533,4.116214499,NaN,NaN
5.045393468,2.160057431,3.91639798,NaN,NaN
2.928579494,1.532741418,2.84800813,NaN,NaN
3.220874443,2.690091806,5.001290497,NaN,NaN
1.905152353,2.008439459,4.687142323,NaN,NaN
4.214820411,3.025957301,2.346824405,NaN,NaN
3.51052527,2.678942415,2.233110122,NaN,NaN
2.787964528,2.888820962,2.03624566,NaN,NaN
3.810239444,1.467666243,2.218980667,NaN,NaN
2.527442883,2.616119285,2.619868968,NaN,NaN
3.536865826,2.454676983,2.020435719,NaN,NaN
3.166174613,1.196133312,3.099439268,NaN,NaN
2.792991943,3.078540456,2.795425852,NaN,NaN
3.513583885,1.657146972,2.699170876,NaN,NaN
3.561180442,3.92485648,2.557892106,NaN,NaN
4.668802676,3.615486515,NaN,NaN,NaN
2.425236691,2.582403358,NaN,NaN,NaN
2.099573567,2.941229044,NaN,NaN,NaN
3.696654663,2.850844276,NaN,NaN,NaN
3.663527129,3.289425184,NaN,NaN,NaN
2.995676273,1.520100564,NaN,NaN,NaN
4.442181582,1.222646847,NaN,NaN,NaN
2.98661955,2.119884072,NaN,NaN,NaN
5.107350954,3.226608461,NaN,NaN,NaN
5.794255395,1.731812212,NaN,NaN,NaN
4.640118728,2.35045252,NaN,NaN,NaN
5.63349282,2.719128579,NaN,NaN,NaN
6.080477541,2.660718435,NaN,NaN,NaN
3.999040656,1.766410708,NaN,NaN,NaN
2.283713803,2.09573924,NaN,NaN,NaN
3.518492615,1.492081645,NaN,NaN,NaN
3.209373641,3.85130748,NaN,NaN,NaN
3.172547435,2.377527422,NaN,NaN,NaN
3.891469996,2.776647867,NaN,NaN,NaN
2.562835459,1.614576383,NaN,NaN,NaN
6.544381067,1.52040064,NaN,NaN,NaN
4.459424102,1.942114621,NaN,NaN,NaN
6.621117976,1.909165309,NaN,NaN,NaN
7.031906341,5.747064679,NaN,NaN,NaN
7.961473214,4.007959793,NaN,NaN,NaN
5.981297739,0.947117226,NaN,NaN,NaN
3.345352709,1.338248991,NaN,NaN,NaN
4.691917494,1.834429157,NaN,NaN,NaN
4.144416929,3.191891089,NaN,NaN,NaN
3.547954691,2.456779305,NaN,NaN,NaN
4.172825329,2.975032017,NaN,NaN,NaN
4.127114176,3.33828071,NaN,NaN,NaN
3.440094983,2.625107409,NaN,NaN,NaN
3.736175241,3.417589916,NaN,NaN,NaN
3.568173798,2.802271393,NaN,NaN,NaN
4.281814886,4.29975921,NaN,NaN,NaN
2.473885581,0.983747616,NaN,NaN,NaN
3.403280972,1.440627976,NaN,NaN,NaN
2.565900449,2.959130162,NaN,NaN,NaN
2.434436721,2.456458766,NaN,NaN,NaN
2.855512572,3.893744562,NaN,NaN,NaN
4.548299434,4.223769728,NaN,NaN,NaN
4.306515632,3.413776266,NaN,NaN,NaN
3.361037996,2.684272179,NaN,NaN,NaN
4.79529778,4.009309472,NaN,NaN,NaN
4.378421746,3.755794323,NaN,NaN,NaN
5.230639886,4.467293154,NaN,NaN,NaN
3.497789618,3.747584388,NaN,NaN,NaN
4.407346314,3.88078038,NaN,NaN,NaN
4.547969677,3.365468863,NaN,NaN,NaN
4.111616481,5.086083844,NaN,NaN,NaN
2.524676817,3.479060766,NaN,NaN,NaN
2.378009887,3.415996882,NaN,NaN,NaN
2.341264951,3.411275003,NaN,NaN,NaN
2.891312562,3.855127753,NaN,NaN,NaN
3.618856501,3.135115836,NaN,NaN,NaN
4.126597186,4.43027418,NaN,NaN,NaN
4.251121327,3.714591273,NaN,NaN,NaN
4.271938833,3.953071218,NaN,NaN,NaN
4.289877464,3.923909675,NaN,NaN,NaN
4.158938567,5.721795673,NaN,NaN,NaN
4.345994251,5.299761242,NaN,NaN,NaN
3.424188753,4.14846805,NaN,NaN,NaN
3.377546206,4.817230247,NaN,NaN,NaN
3.638293542,3.541131157,NaN,NaN,NaN
3.504835489,4.481389873,NaN,NaN,NaN
3.214145168,6.241496272,NaN,NaN,NaN
4.303482104,4.353006157,NaN,NaN,NaN
3.857924209,4.223576825,NaN,NaN,NaN
3.501993019,4.821769233,NaN,NaN,NaN
4.029500332,4.230812438,NaN,NaN,NaN
3.205293562,6.506528617,NaN,NaN,NaN
4.326538382,5.572975517,NaN,NaN,NaN
4.437186668,4.880361323,NaN,NaN,NaN
4.402001988,3.893042994,NaN,NaN,NaN
4.140942859,6.894952196,NaN,NaN,NaN
3.207671038,6.55542276,NaN,NaN,NaN
4.258917246,NaN,NaN,NaN,NaN
3.93264724,NaN,NaN,NaN,NaN
2.489496476,NaN,NaN,NaN,NaN
2.475676645,NaN,NaN,NaN,NaN
2.859544577,NaN,NaN,NaN,NaN
2.811926411,NaN,NaN,NaN,NaN
2.764879858,NaN,NaN,NaN,NaN
2.869575021,NaN,NaN,NaN,NaN
3.670878275,NaN,NaN,NaN,NaN
2.627980041,NaN,NaN,NaN,NaN
3.494048135,NaN,NaN,NaN,NaN
2.920135922,NaN,NaN,NaN,NaN
2.792033252,NaN,NaN,NaN,NaN
4.152578305,NaN,NaN,NaN,NaN
6.104640653,NaN,NaN,NaN,NaN
6.390283571,NaN,NaN,NaN,NaN
4.829737405,NaN,NaN,NaN,NaN
5.524595815,NaN,NaN,NaN,NaN
5.229065493,NaN,NaN,NaN,NaN
2.532824152,NaN,NaN,NaN,NaN
