Deciduous,Hemlock,Mixed,Red pine plantation,Wetlands
3.29,1.644647075,1.729008424,2.020005607,0.54956412
1.667559769,3.136101429,1.645666061,1.686123186,1.109378107
1.492047711,1.333817045,1.9154448,2.057114508,0.814368289
1.909684834,1.770038334,1.850397835,1.847881852,0.79235567
1.646234734,1.797328038,1.526905497,1.316596693,0.825354379
2.614628737,2.406671651,1.680696959,1.427773552,0.824312427
1.984592581,1.541182884,1.712989722,1.096456423,0.639805255
2.228602514,1.179518709,1.845750812,1.203106309,0.468660378
1.451286174,1.696907717,3.450831667,1.09800297,1.407646881
1.90792785,1.453240982,1.664977977,1.429939227,0.592994369
2.054768707,2.026294089,2.833992219,1.167478239,1.225349912
1.548068026,1.309899337,2.011206021,0.884084397,1.624242167
2.959955832,1.492531051,2.037748816,1.170259955,0.569406302
2.195934513,2.71494386,1.587391106,NaN,0.901851657
1.934603271,1.78730137,2.48693986,NaN,0.912660349
1.96641045,1.075419414,2.092158391,NaN,1.323762651
1.798606725,2.162839304,1.59712699,NaN,0.974568354
1.864803078,2.033100619,1.936663809,NaN,0.909276595
2.506079743,1.687040847,2.390410028,NaN,0.923450932
2.094447197,1.992333544,2.246082004,NaN,0.73438606
1.71579194,1.722154452,1.922255715,NaN,0.744736212
1.615912336,1.558839016,2.291884134,NaN,NaN
1.820156228,1.709421179,1.703118659,NaN,NaN
1.51335733,1.775660065,1.925522767,NaN,NaN
1.573137882,1.314066923,2.143007882,NaN,NaN
1.34768845,1.362866998,1.978328864,NaN,NaN
1.4934648,1.356398785,1.689277425,NaN,NaN
2.186788331,1.393802299,1.631408593,NaN,NaN
1.513121796,1.540307782,2.182609557,NaN,NaN
1.714075036,1.468104147,1.94982096,NaN,NaN
1.80397108,2.676913675,2.172747273,NaN,NaN
1.573298212,1.380722574,2.310438758,NaN,NaN
1.789409854,1.051062078,2.687069269,NaN,NaN
1.773706747,3.36378449,1.993080912,NaN,NaN
1.694702418,1.419708585,2.131877988,NaN,NaN
1.749200392,1.691305696,1.722774854,NaN,NaN
1.418216476,1.062435184,1.709902234,NaN,NaN
1.567233126,1.853037868,NaN,NaN,NaN
1.770449409,1.356697126,NaN,NaN,NaN
1.794541092,1.388047905,NaN,NaN,NaN
1.737233142,1.44325523,NaN,NaN,NaN
1.500980562,1.282978131,NaN,NaN,NaN
1.40160053,2.308136464,NaN,NaN,NaN
1.779784136,2.369101133,NaN,NaN,NaN
1.549140158,1.997291645,NaN,NaN,NaN
1.822096976,0.983900257,NaN,NaN,NaN
1.609746534,1.426106358,NaN,NaN,NaN
1.612771584,1.718344771,NaN,NaN,NaN
1.419324684,1.53791997,NaN,NaN,NaN
1.567264741,1.950238818,NaN,NaN,NaN
1.383500264,2.164010721,NaN,NaN,NaN
1.691733362,1.574141399,NaN,NaN,NaN
1.539343266,1.846853956,NaN,NaN,NaN
1.590603086,0.733642881,NaN,NaN,NaN
2.301133932,1.336123611,NaN,NaN,NaN
1.698895692,1.62036862,NaN,NaN,NaN
1.871938677,1.82564884,NaN,NaN,NaN
1.947239223,1.468062612,NaN,NaN,NaN
1.421788567,1.642291701,NaN,NaN,NaN
1.565381926,1.525238645,NaN,NaN,NaN
1.708841135,1.070708423,NaN,NaN,NaN
1.011849416,1.13008619,NaN,NaN,NaN
1.765928701,2.321185743,NaN,NaN,NaN
1.345239862,2.971413166,NaN,NaN,NaN
1.972590524,2.734260361,NaN,NaN,NaN
1.830742681,1.336926796,NaN,NaN,NaN
1.818784681,2.041270108,NaN,NaN,NaN
1.708917672,1.631605604,NaN,NaN,NaN
1.803118624,1.529181692,NaN,NaN,NaN
1.375700603,2.203130382,NaN,NaN,NaN
1.150442316,1.323062326,NaN,NaN,NaN
1.407751955,2.470537401,NaN,NaN,NaN
1.448014329,1.200703816,NaN,NaN,NaN
2.029050911,3.817931435,NaN,NaN,NaN
1.905832741,2.533702906,NaN,NaN,NaN
2.113619209,2.15159462,NaN,NaN,NaN
1.919445246,1.35115734,NaN,NaN,NaN
1.635100054,1.784626156,NaN,NaN,NaN
1.777874523,1.949662803,NaN,NaN,NaN
1.87957989,1.921882976,NaN,NaN,NaN
1.752997049,1.843278037,NaN,NaN,NaN
1.936940727,1.649676767,NaN,NaN,NaN
1.873229923,1.379748933,NaN,NaN,NaN
1.719775215,1.817393436,NaN,NaN,NaN
1.385213433,1.597815928,NaN,NaN,NaN
1.982809004,1.9193714,NaN,NaN,NaN
1.869524363,1.98295292,NaN,NaN,NaN
2.760525271,1.865941923,NaN,NaN,NaN
2.229090455,1.303739919,NaN,NaN,NaN
1.76992119,1.409677083,NaN,NaN,NaN
1.874963503,1.66672162,NaN,NaN,NaN
2.014354184,1.216014122,NaN,NaN,NaN
1.889862243,2.165929257,NaN,NaN,NaN
1.53202449,1.246993427,NaN,NaN,NaN
2.022779834,1.801690188,NaN,NaN,NaN
1.700809155,1.900283997,NaN,NaN,NaN
1.490638502,1.587448132,NaN,NaN,NaN
1.35768367,1.663731143,NaN,NaN,NaN
1.487767995,1.023707793,NaN,NaN,NaN
2.093240399,1.332695117,NaN,NaN,NaN
2.03718977,1.738344733,NaN,NaN,NaN
1.150925968,1.527719524,NaN,NaN,NaN
1.221582275,1.708506088,NaN,NaN,NaN
1.232034085,1.730749135,NaN,NaN,NaN
1.680536374,1.954088133,NaN,NaN,NaN
1.985788542,1.803050485,NaN,NaN,NaN
1.642897935,2.018320491,NaN,NaN,NaN
1.79827695,1.47941678,NaN,NaN,NaN
1.662517634,1.440658915,NaN,NaN,NaN
1.857201431,1.571893629,NaN,NaN,NaN
2.213407661,1.347893986,NaN,NaN,NaN
1.729740126,1.689393117,NaN,NaN,NaN
2.117310077,1.677984027,NaN,NaN,NaN
2.225586918,1.704015376,NaN,NaN,NaN
1.582725462,NaN,NaN,NaN,NaN
2.380803884,NaN,NaN,NaN,NaN
1.31339005,NaN,NaN,NaN,NaN
1.311676163,NaN,NaN,NaN,NaN
1.669947205,NaN,NaN,NaN,NaN
1.316767276,NaN,NaN,NaN,NaN
1.602444031,NaN,NaN,NaN,NaN
1.443435483,NaN,NaN,NaN,NaN
1.960795069,NaN,NaN,NaN,NaN
1.578896644,NaN,NaN,NaN,NaN
1.666680869,NaN,NaN,NaN,NaN
1.532165614,NaN,NaN,NaN,NaN
1.526282789,NaN,NaN,NaN,NaN
1.243584016,NaN,NaN,NaN,NaN
1.519831654,NaN,NaN,NaN,NaN
1.20784185,NaN,NaN,NaN,NaN
1.287716699,NaN,NaN,NaN,NaN
1.189991389,NaN,NaN,NaN,NaN
1.386643628,NaN,NaN,NaN,NaN
1.565144021,NaN,NaN,NaN,NaN
1.429375157,NaN,NaN,NaN,NaN
1.085821914,NaN,NaN,NaN,NaN
1.694155556,NaN,NaN,NaN,NaN
1.405663289,NaN,NaN,NaN,NaN
1.533390045,NaN,NaN,NaN,NaN
1.245210824,NaN,NaN,NaN,NaN
1.523203011,NaN,NaN,NaN,NaN
1.771265621,NaN,NaN,NaN,NaN
1.812045628,NaN,NaN,NaN,NaN
1.809962748,NaN,NaN,NaN,NaN
3.312393959,NaN,NaN,NaN,NaN
1.437283878,NaN,NaN,NaN,NaN
1.530941812,NaN,NaN,NaN,NaN
1.379932815,NaN,NaN,NaN,NaN
1.619509699,NaN,NaN,NaN,NaN
1.794777309,NaN,NaN,NaN,NaN
1.375017179,NaN,NaN,NaN,NaN
1.635086388,NaN,NaN,NaN,NaN
2.019339958,NaN,NaN,NaN,NaN
1.690364869,NaN,NaN,NaN,NaN
1.489826126,NaN,NaN,NaN,NaN
1.766661959,NaN,NaN,NaN,NaN
1.877746731,NaN,NaN,NaN,NaN
1.786453078,NaN,NaN,NaN,NaN
3.044256966,NaN,NaN,NaN,NaN
2.027823619,NaN,NaN,NaN,NaN
1.716155177,NaN,NaN,NaN,NaN
1.470666661,NaN,NaN,NaN,NaN
1.546956851,NaN,NaN,NaN,NaN
1.526045232,NaN,NaN,NaN,NaN
1.899893267,NaN,NaN,NaN,NaN
1.733094325,NaN,NaN,NaN,NaN
1.979879712,NaN,NaN,NaN,NaN
1.626593349,NaN,NaN,NaN,NaN
1.431699592,NaN,NaN,NaN,NaN
1.674089732,NaN,NaN,NaN,NaN
1.517532778,NaN,NaN,NaN,NaN
1.643328285,NaN,NaN,NaN,NaN
1.507359195,NaN,NaN,NaN,NaN
1.623444001,NaN,NaN,NaN,NaN
1.808867855,NaN,NaN,NaN,NaN
1.735918887,NaN,NaN,NaN,NaN
2.260942127,NaN,NaN,NaN,NaN
2.800240559,NaN,NaN,NaN,NaN
3.071402133,NaN,NaN,NaN,NaN
3.452220954,NaN,NaN,NaN,NaN
1.106038326,NaN,NaN,NaN,NaN
1.531352072,NaN,NaN,NaN,NaN
1.190684845,NaN,NaN,NaN,NaN
1.417277729,NaN,NaN,NaN,NaN
1.592687471,NaN,NaN,NaN,NaN
1.512451167,NaN,NaN,NaN,NaN
1.373869362,NaN,NaN,NaN,NaN
1.440299955,NaN,NaN,NaN,NaN
1.000240123,NaN,NaN,NaN,NaN
