Day of year,EMS-Re,EMS-Rs,EMS-Raboveground,HEM-Re,HEM-Rs,HEM-Raboveground
1,1.227528,0.576537493,0.650990507,0.458246483,0.549014796,-0.090768313
2,1.1934,0.570893675,0.622506325,0.491773091,0.551094166,-0.059321075
3,1.254168,0.575375626,0.678792375,0.48168,0.571917774,-0.090237774
4,1.095264,0.573572241,0.521691759,0.429166927,0.576845831,-0.147678904
5,1.148472,0.58834493,0.56012707,0.379357135,0.597256859,-0.217899724
6,1.247112,0.59903536,0.64807664,0.308905533,0.607158768,-0.298253235
7,1.155528,0.589693524,0.565834476,0.321520152,0.605687956,-0.284167803
8,1.06056,0.57696791,0.48359209,0.30456,0.605418814,-0.300858814
9,1.163304,0.563062309,0.600241691,0.39096,0.608247251,-0.217287251
10,1.071576,0.554464194,0.517111806,0.39096,0.607497672,-0.216537672
11,1.305936,0.559213909,0.746722091,0.46332,0.587908945,-0.124588945
12,1.344528,0.553776891,0.790751109,0.54648,0.581569145,-0.035089145
13,1.378728,0.55367466,0.82505334,0.64584,0.601444869,0.044395131
14,1.378944,0.558601163,0.820342837,0.605016,0.594638398,0.010377602
15,1.149408,0.571343496,0.578064504,0.31104,0.599121611,-0.288081611
16,1.156896,0.565383744,0.591512256,0.3024,0.586408061,-0.284008061
17,1.294056,0.536784888,0.757271112,0.239700942,0.533087732,-0.29338679
18,1.134144,0.525554034,0.608589966,0.366322471,0.500603834,-0.134281363
19,1.255392,0.533276801,0.722115199,0.31536,0.510059879,-0.194699879
20,1.176264,0.537508294,0.638755706,0.282744,0.512099847,-0.229355847
21,1.16712,0.525292002,0.641827998,0.245592,0.495324093,-0.249732093
22,1.297944,0.526595522,0.771348478,0.19224,0.489388348,-0.297148348
23,1.345176,0.522642695,0.822533305,0.238334462,0.492854512,-0.25452005
24,1.186488,0.521957067,0.664530933,0.19872,0.494345366,-0.295625366
25,1.115784,0.520407649,0.595376351,0.220608,0.49445921,-0.27385121
26,1.134936,0.521140266,0.613795734,0.17425411,0.47753142,-0.30327731
27,1.216656,0.523338662,0.693317338,0.210481629,0.464326715,-0.253845086
28,1.330704,0.524551192,0.806152808,0.293392066,0.475415977,-0.182023911
29,1.068912,0.525796159,0.543115841,0.28728,0.475751925,-0.188471925
30,1.184328,0.527892457,0.656435543,0.294410719,0.475705577,-0.181294857
31,1.04616,0.52904204,0.51711796,0.29402954,0.475653324,-0.181623784
32,1.111896,0.523773502,0.588122498,0.293042914,0.474037231,-0.180994317
33,1.159848,0.520321702,0.639526298,0.26649574,0.477720376,-0.211224636
34,1.091808,0.516825661,0.574982339,0.279953266,0.485988419,-0.206035153
35,1.058616,0.515847586,0.542768414,0.278144734,0.487605152,-0.209460418
36,1.180152,0.514865271,0.665286729,0.251489343,0.480706252,-0.229216909
37,1.263384,0.509695276,0.753688724,0.247252071,0.480131845,-0.232879774
38,1.318752,0.505198895,0.813553105,0.251930103,0.484977815,-0.233047712
39,1.074672,0.503825826,0.570846174,0.259450298,0.483566966,-0.224116667
40,1.162728,0.505223648,0.657504352,0.270216,0.481316129,-0.211100129
41,1.197576,0.507402028,0.690173972,0.31104,0.487124308,-0.176084308
42,1.214928,0.50987545,0.70505255,0.31104,0.48329409,-0.17225409
43,1.233936,0.512006219,0.72192978,0.31104,0.472530557,-0.161490557
44,1.180728,0.511683376,0.669044624,0.25488,0.476875382,-0.221995382
45,1.153872,0.507357953,0.646514047,0.22788,0.478730536,-0.250850536
46,1.227888,0.509100625,0.718787375,0.2268,0.506903204,-0.280103204
47,1.085256,0.50537071,0.57988529,0.271944,0.519472615,-0.247528615
48,1.142568,0.500600007,0.641967993,0.22032,0.513438525,-0.293118525
49,1.152936,0.497963448,0.654972552,0.31104,0.505866792,-0.194826792
50,1.170504,0.497655574,0.672848426,0.19008,0.50650138,-0.31642138
51,1.232712,0.4991627,0.7335493,0.302433024,0.490177345,-0.187744322
52,1.326744,0.498788402,0.827955598,0.28242051,0.47954643,-0.19712592
53,1.365624,0.49839297,0.86723103,0.2877776,0.478849732,-0.191072131
54,1.29672,0.497404185,0.799315815,0.299442449,0.484580722,-0.185138273
55,1.472184,0.491936689,0.980247311,0.309745257,0.465061773,-0.155316516
56,1.256328,0.492799697,0.763528303,0.304667703,0.456835767,-0.152168064
57,1.376856,0.495118183,0.881737817,0.353932282,0.454401291,-0.100469009
58,1.381968,0.497192422,0.884775578,0.36749148,0.452937671,-0.085446191
59,1.41264,0.497069187,0.915570813,0.330888702,0.455624463,-0.124735761
60,1.261368,0.497939628,0.763428372,0.325796631,0.457588358,-0.131791726
61,1.406232,0.499130264,0.907101736,0.421243707,0.461743133,-0.040499426
62,1.339632,0.492486837,0.847145163,0.439964196,0.465745248,-0.025781052
63,1.475496,0.495197965,0.980298035,0.374867051,0.467718338,-0.092851287
64,1.383192,0.489273059,0.893918941,0.44928,0.459244352,-0.009964352
65,1.158192,0.487917306,0.670274694,0.19224,0.457166585,-0.264926585
66,1.310832,0.502847386,0.807984614,0.490976056,0.46190833,0.029067726
67,1.32912,0.506845575,0.822274425,0.525918388,0.461600417,0.064317971
68,1.471392,0.505047506,0.966344494,0.38448,0.461784491,-0.077304491
69,1.531368,0.508753323,1.022614677,0.575479439,0.463194584,0.112284855
70,1.452384,0.510966054,0.941417946,0.621799861,0.469139203,0.152660658
71,1.392408,0.502909193,0.889498807,0.53860124,0.47327661,0.06532463
72,1.366416,0.504592783,0.861823217,0.765627598,0.480157389,0.285470209
73,1.296864,0.513842028,0.783021972,0.626271938,0.488648547,0.137623392
74,1.425024,0.509908535,0.915115465,0.482109164,0.485741782,-0.003632618
75,1.589328,0.504568564,1.084759436,0.406512,0.479973172,-0.073461172
76,1.34064,0.502687073,0.837952927,0.4266,0.47404935,-0.04744935
77,1.335816,0.506465196,0.829350804,0.427464,0.472294554,-0.044830554
78,1.345968,0.505277838,0.840690162,0.512136,0.470480255,0.041655745
79,1.200096,0.505869577,0.694226423,0.556082668,0.474762502,0.081320166
80,1.501776,0.50524601,0.99652999,0.509328,0.473884004,0.035443996
81,1.451088,0.504160608,0.946927392,0.501571531,0.478088203,0.023483328
82,1.530792,0.514911307,1.015880693,0.560709772,0.490488346,0.070221425
83,1.627632,0.524936253,1.102695747,0.48816,0.512421993,-0.024261993
84,1.487808,0.521782263,0.966025737,0.490462501,0.52204851,-0.031586009
85,1.510128,0.527614313,0.982513687,0.55428829,0.529771914,0.024516377
86,1.987776,0.547619657,1.440156343,0.60912,0.534784484,0.074335516
87,1.810656,0.566393057,1.244262943,0.69336,0.539385785,0.153974215
88,1.55736,0.584087938,0.973272062,0.649944,0.556179457,0.093764543
89,1.557144,0.579414122,0.977729878,0.739415759,0.551726968,0.187688791
90,1.505448,0.58288283,0.92256517,0.749422194,0.55502411,0.194398085
91,1.413072,0.575810648,0.837261352,0.6912,0.548322311,0.142877689
92,1.679616,0.590176684,1.089439316,0.86184,0.56196242,0.29987758
93,1.432584,0.604234093,0.828349906,0.74952,0.559691884,0.189828116
94,1.659888,0.621457824,1.038430176,0.7128,0.563753821,0.149046179
95,1.616976,0.616405348,1.000570652,0.645026346,0.586846346,0.05818
96,1.498896,0.625789008,0.873106992,0.59449441,0.595140746,-0.000646336
97,1.838088,0.634357303,1.203730697,0.530812922,0.603251812,-0.07243889
98,1.902456,0.690189068,1.212266932,0.66272165,0.656126034,0.006595615
99,1.586088,0.75320005,0.83288795,0.504066604,0.715768069,-0.211701465
100,1.567512,0.78847975,0.77903225,0.69552,0.76943038,-0.07391038
101,1.859832,0.801774001,1.058057999,1.00656,0.859157394,0.147402606
102,1.796256,0.79410549,1.00215051,0.72520491,0.780207136,-0.055002226
103,2.017296,0.800886464,1.216409536,0.61665329,0.768886211,-0.152232921
104,2.118672,0.801461915,1.317210085,0.835378986,0.850528357,-0.015149372
105,2.257416,0.86737692,1.39003908,1.030541037,0.86922966,0.161311378
106,2.555712,0.886066709,1.669645291,1.098246954,0.89081785,0.207429104
107,2.203704,0.947622301,1.256081699,1.300204561,0.913412078,0.386792483
108,2.026944,1.033504395,0.993439605,1.528100409,1.012987012,0.515113397
109,2.204784,1.017683565,1.187100435,1.559550093,1.097978505,0.461571588
110,2.452896,1.007307659,1.445588341,2.07792,1.251880999,0.826039001
111,2.763504,1.025693739,1.737810261,1.80792,1.146979439,0.660940561
112,2.647872,1.106950276,1.540921724,1.767776154,1.082923167,0.684852987
113,3.025512,1.061263404,1.964248596,1.66968,1.034579645,0.635100355
114,2.704464,1.026625027,1.677838973,2.0952,1.181268262,0.913931738
115,2.771496,1.082670472,1.688825528,1.73016,1.170470938,0.559689062
116,2.565504,1.083091683,1.482412317,1.96776,1.143097812,0.824662188
117,2.550888,1.148742391,1.402145609,1.89864,1.242997727,0.655642273
118,2.481624,1.129879865,1.351744135,1.843440008,1.191756352,0.651683656
119,2.736648,1.051653163,1.684994837,1.72152,1.131479393,0.590040607
120,3.01464,1.136526034,1.878113966,1.87056,1.163266002,0.707293998
121,3.322584,1.175605212,2.146978788,1.89,1.245238355,0.644761645
122,3.483864,1.207369149,2.276494851,1.6632,1.109423683,0.553776317
123,3.09096,1.225127039,1.865832961,1.5768,1.121628122,0.455171878
124,3.352104,1.269690498,2.082413502,1.58328,1.249124351,0.334155649
125,3.484728,1.357973149,2.126754851,1.89216,1.267033577,0.625126423
126,3.543264,1.319205161,2.224058839,1.73448,1.214840533,0.519639467
127,3.913848,1.399441278,2.514406722,1.949186757,1.363403892,0.585782865
128,3.626064,1.472690232,2.153373768,2.292663838,1.42580368,0.866860158
129,3.48552,1.551228047,1.934291953,2.58324462,1.452865432,1.130379188
130,3.326616,1.56467994,1.76193606,2.43,1.433607825,0.996392175
131,3.44772,1.682459287,1.765260713,2.87928,1.609121859,1.270158141
132,3.266784,1.580928457,1.685855543,2.31768,1.672969269,0.644710731
133,3.002832,1.476354461,1.526477539,1.932004032,1.404081858,0.527922174
134,3.295152,1.462840379,1.832311621,2.2788,1.40118575,0.87761425
135,3.641256,1.552624495,2.088631505,2.276995012,1.488961797,0.788033215
136,3.851424,1.558235704,2.293188296,2.527608246,1.641235482,0.886372765
137,3.29796,1.577879484,1.720080516,2.26584,1.477498693,0.788341307
138,3.35772,1.589920745,1.767799255,2.14488,1.533133982,0.611746018
139,3.964752,1.628400305,2.336351695,2.268,1.538730289,0.729269711
140,4.4802,1.635956836,2.844243164,2.28528,1.508049608,0.777230392
141,4.095576,1.699310556,2.396265444,2.09736,1.467601765,0.629758235
142,4.158072,1.679030254,2.479041746,2.155625065,1.39847666,0.757148405
143,3.904056,1.682445157,2.221610843,1.82304,1.435898887,0.387141113
144,4.640832,1.806242826,2.834589174,2.167750952,1.585281091,0.582469861
145,4.411152,1.812696866,2.598455134,2.471913085,1.839308338,0.632604747
146,4.008672,1.882029897,2.126642103,2.6892,1.88853121,0.80066879
147,4.136976,1.816432458,2.320543542,3.582198942,1.715059529,1.867139413
148,4.69728,1.872351721,2.824928279,3.700609899,1.929499864,1.771110034
149,4.386096,1.861236736,2.524859264,3.468528,1.883799848,1.584728152
150,4.584168,2.027959199,2.556208801,3.69576,1.960570539,1.735189461
151,4.474656,2.003927446,2.470728554,3.631689649,1.890654356,1.741035293
152,4.792824,2.017022267,2.775801733,4.18608,1.96051215,2.22556785
153,4.46688,1.997550692,2.469329308,4.556145391,1.890543983,2.665601408
154,4.449096,2.094603797,2.354492203,4.597841943,1.975566002,2.62227594
155,4.270824,2.134470404,2.136353596,4.327571739,2.077636164,2.249935575
156,4.674528,2.13696233,2.53756567,4.674024,2.047284182,2.626739818
157,4.420656,2.212276609,2.208379391,4.424072086,2.156993613,2.267078472
158,4.187232,2.168767611,2.018464389,4.562790709,2.044986352,2.517804357
159,4.684896,2.244512996,2.440383004,4.607313875,2.160345558,2.446968317
160,4.964544,2.411358925,2.553185075,4.78116,2.518616068,2.262543932
161,5.808312,2.442091384,3.366220616,4.606632,2.636404485,1.970227515
162,5.634792,2.508785045,3.126006955,4.92048,2.848337315,2.072142685
163,5.522184,2.620445829,2.901738171,5.36652,2.598427946,2.768092054
164,4.775256,2.563540073,2.211715927,4.822812196,2.431012715,2.391799481
165,4.988304,2.62636624,2.36193776,4.55831549,2.502943628,2.055371862
166,4.927752,2.693341538,2.234410462,4.23036,2.507990241,1.722369759
167,4.80204,2.596100761,2.205939239,4.485600026,2.409329395,2.076270631
168,5.219064,2.615238151,2.603825849,4.499171083,2.531725769,1.967445313
169,5.452992,2.594267467,2.858724533,4.486385403,2.545419454,1.94096595
170,5.423544,2.715865978,2.707678022,4.639179195,2.630718783,2.008460412
171,5.520528,2.789789796,2.730738204,4.909070872,2.72822093,2.180849942
172,5.539248,2.897021707,2.642226293,4.848965638,2.672444588,2.17652105
173,5.397624,2.9321034,2.4655206,4.852283057,2.660773096,2.191509962
174,5.687496,2.912822559,2.774673441,4.833997964,2.629861223,2.204136741
175,5.730192,3.085133069,2.645058931,5.128522518,2.809641117,2.318881401
176,6.1722,3.213802818,2.958397182,5.282259766,3.010417746,2.271842021
177,6.885072,3.420899595,3.464172405,5.538086506,3.061783649,2.476302857
178,7.081992,3.477174891,3.604817109,5.859852627,3.248279296,2.611573331
179,6.74424,3.659825456,3.084414544,5.833528764,3.220966277,2.612562487
180,6.386328,3.53254345,2.85378455,5.91064864,3.11631527,2.794333369
181,6.23232,3.654122606,2.578197394,5.870285555,3.146663555,2.723622
182,5.829048,3.620021334,2.209026666,5.637714919,3.232389329,2.405325591
183,6.45192,3.597608733,2.854311267,5.493019514,3.282696359,2.210323155
184,6.443784,3.623103872,2.820680128,5.516804296,3.373609547,2.143194749
185,6.644448,3.713879502,2.930568498,5.539950929,3.347638985,2.192311944
186,6.606576,3.837602846,2.768973154,5.494845144,3.371581379,2.123263764
187,6.381,3.830497314,2.550502686,5.484712318,3.456835507,2.027876811
188,5.761944,3.755523317,2.006420683,5.411189683,3.423027506,1.988162177
189,5.76108,3.837711235,1.923368765,5.10732,3.372945428,1.734374572
190,5.781528,4.094359811,1.687168189,5.696659214,3.733992517,1.962666697
191,6.422472,3.905680954,2.516791046,6.412299978,3.753510233,2.658789745
192,5.972472,3.884825446,2.087646554,6.316335444,3.912861921,2.403473523
193,5.92776,3.826002724,2.101757276,6.020193088,3.796991996,2.223201092
194,5.749848,3.808475882,1.941372118,5.649776442,3.644905489,2.004870953
195,5.761872,3.863277949,1.898594051,5.840177837,3.64430673,2.195871107
196,5.957136,4.022756483,1.934379517,5.868873866,3.722221233,2.146652633
