Year,EMS-Re,EMS-Rs,EMS-Rs/EMS-Re,HEM-Re,HEM-Rs,HEM-Rs/HEM-Re
1992,1006.602192,882.3738124,0.876586421,NaN,NaN,NaN
1993,1180.527984,639.9105507,0.542054538,NaN,NaN,NaN
1994,1063.638864,810.8322787,0.762319154,NaN,NaN,NaN
1995,972.520992,754.4893731,0.775807802,NaN,NaN,NaN
1996,1133.038368,723.8062782,0.63881886,NaN,NaN,NaN
1997,1239.54408,621.3350799,0.50126098,NaN,NaN,NaN
1998,1056.151872,726.2338184,0.687622526,NaN,NaN,NaN
1999,1188.4104,790.0542679,0.664799187,NaN,NaN,NaN
2000,1185.497568,671.3282872,0.566283985,NaN,NaN,NaN
2001,1212.07176,639.8857864,0.527927312,NaN,NaN,NaN
2002,1243.994112,722.0321766,0.580414465,NaN,NaN,NaN
2003,1324.480464,741.3240688,0.559709327,NaN,NaN,NaN
2004,1247.503248,708.257533,0.567740031,NaN,666.6932554,NaN
2005,825.82632,755.9047885,0.915331433,962.5263877,710.8726714,0.738548761
2006,1197.008928,724.918838,0.605608547,912.4379483,682.4750122,0.747968685
2007,1084.911408,679.6818875,0.626486073,802.8140112,640.0144709,0.797213878
2008,988.064784,695.4413107,0.703841815,1048.748775,655.0544405,0.624605679
2009,1456.203312,714.0210169,0.490330582,847.6562648,672.352034,0.793189482
