Year,Study,Rs 0.5°C-MAT,Rs annual
2006,S4,1.530582977,787.0392717
2007,S4,1.811837739,728.5132671
2002,S2,1.34,736.2856425
2002,S2,1.37,736.2856425
2002,S2,1.71,736.2856425
2002,S2,0.93,736.2856425
2002,S2,0.84,736.2856425
2002,S2,1.09,736.2856425
2002,S2,1.38,736.2856425
2002,S2,1.17,736.2856425
2002,S2,1.14,736.2856425
2002,S2,1.05,736.2856425
2002,S2,2.18,736.2856425
2002,S2,1.25,736.2856425
1997,S5,1,619.8704851
1997,S5,1.07,619.8704851
1997,S5,1.39,619.8704851
1997,S5,0.95,619.8704851
1997,S5,1,619.8704851
1997,S6,1.43,600.7468823
1997,S6,0.35,600.7468823
1997,S6,1.25,600.7468823
1997,S6,1.07,600.7468823
1997,S6,1.72,600.7468823
2006,S7,1.834003961,837.5445451
1998,S8,1.583383178,438.2840203
1997,S8,0.569254369,397.5031468
1997,S8,0.683960815,397.5031468
1998,S8,1.048433642,438.2840203
1996,S8,0.940060933,452.9938777
2005,S8,0.726942241,558.6356869
1996,S8,0.689761863,452.9938777
1997,S8,0.637971912,397.5031468
1999,S8,0.746058884,406.9136436
1999,S8,0.565782487,406.9136436
1999,S8,1.098685864,406.9136436
2004,S8,1.161298662,464.4178477
1997,S8,0.734978202,397.5031468
1997,S8,0.327780126,397.5031468
1997,S8,0.705127263,397.5031468
1996,S9,0.784965597,894.8366057
1997,S9,1.061591124,646.3620311
2000,S9,1.094074004,762.8693038
2003,S9,2.095139832,793.3897864
2005,S9,1.214268026,931.6772523
1996,S9,1.157121912,894.8366057
1997,S9,0.60560396,646.3620311
2003,S9,1.950372076,793.3897864
2005,S9,1.723775738,931.6772523
2006,S9,1.048513098,718.0018305
1996,S9,1.333203853,894.8366057
1997,S9,0.790053699,646.3620311
1999,S9,0.694870231,495.3656702
1996,S9,1.813337078,894.8366057
1997,S9,0.998513169,646.3620311
2003,S9,1.333662009,793.3897864
2005,S9,0.824223892,931.6772523
2006,S9,1.052755726,718.0018305
1996,S9,1.052436438,894.8366057
1999,S9,0.756133677,495.3656702
2003,S9,2.255604696,793.3897864
2004,S9,3.028937959,880.7850016
2005,S9,1.578489453,931.6772523
1998,S9,1.236234327,786.7159522
1999,S9,0.73892601,495.3656702
2000,S9,1.711666613,762.8693038
2001,S10,1.176592262,983.0307595
2001,S10,1.261559542,983.0307595
2002,S10,1.732209495,1006.800243
2006,S10,2.137172885,831.1914808
1996,S10,1.805487302,908.6042818
1997,S10,1.577456256,661.6308679
1999,S10,1.286218075,508.707276
1999,S10,1.343327999,508.707276
2000,S10,1.5363951,931.2342192
2000,S10,1.622381117,931.2342192
2000,S10,1.9272128,931.2342192
2001,S10,2.693593423,983.0307595
2002,S10,2.243194836,1006.800243
2002,S10,2.964436068,1006.800243
2005,S10,0.950593027,1030.759496
2006,S10,1.114104038,831.1914808
2007,S10,0.878333778,838.945531
1997,S10,1.492269757,661.6308679
2000,S10,1.302536872,931.2342192
2000,S10,1.151422391,931.2342192
2000,S10,1.183367374,931.2342192
2001,S10,0.756315522,983.0307595
2001,S10,0.964853862,983.0307595
2002,S10,1.553332597,1006.800243
2004,S10,1.627699991,1067.569935
2005,S10,1.211804736,1030.759496
2006,S10,1.501083278,831.1914808
2007,S10,1.019046391,838.945531
1997,S10,0.948867266,661.6308679
1999,S10,0.745954286,508.707276
2000,S10,1.912216166,931.2342192
2000,S10,1.707246772,931.2342192
2000,S10,1.018637807,931.2342192
2002,S10,1.249501545,1006.800243
2005,S10,1.325053486,1030.759496
2005,S10,1.875155863,1030.759496
2006,S10,1.114194236,831.1914808
2006,S10,2.1325281,831.1914808
2006,S10,2.240491857,831.1914808
1997,S10,0.726064285,661.6308679
1999,S10,0.429285495,508.707276
1999,S10,0.982636352,508.707276
2000,S10,2.192058199,931.2342192
2000,S10,2.545416797,931.2342192
2000,S10,1.947446292,931.2342192
2002,S10,2.473440403,1006.800243
2002,S10,2.363105151,1006.800243
2004,S10,1.640421128,1067.569935
2005,S10,1.004211874,1030.759496
2005,S10,1.433279507,1030.759496
2006,S10,2.413168556,831.1914808
1998,S10,1.253037286,1030.183364
2000,S10,2.728377706,931.2342192
2002,S10,2.31578317,1006.800243
2006,S10,1.664536791,831.1914808
2007,S10,1.377730904,838.945531
2005,S3,0.76,870.2738205
2004,S3,1.57,677.0027855
2004,S3,1.14,677.0027855
2004,S3,1.37,677.0027855
2007,S3,1.17,685.7803531
2004,S3,2.38,677.0027855
2004,S3,1.77,677.0027855
2005,S3,2.53,870.2738205
2004,S3,2.09,677.0027855
2005,S3,0.64,870.2738205
2008,S3,1.35,670.5042866
2004,S3,1.73,677.0027855
2007,S3,1.71,685.7803531
2007,S3,1.81,685.7803531
2004,S3,1.41,677.0027855
2007,S3,0.87,685.7803531
2004,S3,2.25,677.0027855
2005,S3,1.02,870.2738205
1996,S11,1.77,899.2174102
1997,S11,1.11,668.7208108
2000,S11,2.63,1003.660951
2002,S11,1.31,971.9670734
2002,S11,2.45,971.9670734
1996,S11,1.72,899.2174102
1999,S11,1.38,637.2754145
2000,S11,1.49,1003.660951
2001,S11,1.18,984.9024292
2002,S11,2.95,971.9670734
2001,S11,0.95,984.9024292
2001,S11,1.08,984.9024292
1996,S11,1.24,899.2174102
2000,S11,1.09,1003.660951
2001,S11,1.2,984.9024292
1996,S11,1.4,899.2174102
1997,S11,1.32,668.7208108
2000,S11,1.38,1003.660951
2001,S11,1.44,984.9024292
1996,S11,2.24,899.2174102
1999,S11,2.22,637.2754145
2000,S11,2.78,1003.660951
2001,S11,3.14,984.9024292
2003,S11,1.61,1075.484977
1996,S12,1.66,838.5081232
1999,S12,0.92,491.0945623
1999,S12,0.71,491.0945623
2000,S12,1.48,765.8236181
2001,S12,1.25,945.6491816
2001,S12,1.82,945.6491816
1996,S12,1.64,838.5081232
1999,S12,0.64,491.0945623
2000,S12,1.72,765.8236181
2001,S12,1.14,945.6491816
2002,S12,1.66,1008.164565
2002,S12,2.75,1008.164565
1996,S12,1.41,838.5081232
2001,S12,1.04,945.6491816
2001,S12,1.67,945.6491816
2002,S12,1.62,1008.164565
2002,S12,2.31,1008.164565
1996,S12,1.56,838.5081232
1999,S12,1.07,491.0945623
1999,S12,1.42,491.0945623
2000,S12,1.67,765.8236181
2001,S12,1.63,945.6491816
2001,S12,1.77,945.6491816
2002,S12,1.9,1008.164565
1996,S12,1.22,838.5081232
1997,S12,0.91,721.5310676
1999,S12,0.77,491.0945623
2000,S12,1.42,765.8236181
2001,S12,1.2,945.6491816
2001,S12,1.56,945.6491816
2002,S12,1.7,1008.164565
2002,S12,1.83,1008.164565
2003,S12,1.77,852.3452771
1999,S12,0.68,491.0945623
1999,S12,0.91,491.0945623
2000,S12,1.47,765.8236181
2001,S12,1.36,945.6491816
