Year,Study,Vegetation cover,Rs MAT modeled,Rs annual
2006,S4,Deciduous,1.561034259,787.0392717
2007,S4,Deciduous,1.163320709,728.5132671
2002,S2,Deciduous,1.305643745,736.2856425
2003,S2,Deciduous,1.5196225,855.5607692
1997,S5,Deciduous,1.010837451,619.8704851
1997,S6,Deciduous,0.837099227,600.7468823
2006,S7,Deciduous,1.468134811,837.5445451
2007,S7,Deciduous,1.22805591,721.7410667
1996,S8,Wetland,1.011145219,452.9938777
1997,S8,Wetland,0.667606985,397.5031468
1998,S8,Wetland,0.729077711,438.2840203
1999,S8,Wetland,0.827973667,406.9136436
2003,S8,Wetland,0.965945973,494.6295641
2004,S8,Wetland,0.896298125,464.4178477
2005,S8,Wetland,0.893782012,558.6356869
1996,S9,Hemlock,1.471215598,894.8366057
1997,S9,Hemlock,0.859062033,646.3620311
1998,S9,Hemlock,1.26100007,786.7159522
1999,S9,Hemlock,0.80872886,495.3656702
2000,S9,Hemlock,1.222696378,762.8693038
2001,S9,Hemlock,1.310002383,760.707388
2003,S9,Hemlock,1.626538908,793.3897864
2004,S9,Hemlock,1.401907406,880.7850016
2005,S9,Hemlock,1.553707563,931.6772523
2006,S9,Hemlock,1.019228518,718.0018305
2007,S9,Hemlock,1.243008129,829.1140196
1996,S10,Deciduous,1.650577167,908.6042818
1997,S10,Deciduous,1.082129491,661.6308679
1998,S10,Deciduous,1.660330633,1030.183364
1999,S10,Deciduous,0.94677765,508.707276
2000,S10,Deciduous,1.523745785,931.2342192
2001,S10,Deciduous,1.688802034,983.0307595
2002,S10,Deciduous,1.554181363,1006.800243
2003,S10,Deciduous,2.029038048,1130.657107
2004,S10,Deciduous,1.513701711,1067.569935
2005,S10,Deciduous,1.498195787,1030.759496
2006,S10,Deciduous,1.364943356,831.1914808
2007,S10,Deciduous,1.232520656,838.945531
2004,S3,Hemlock,1.280615957,677.0027855
2005,S3,Hemlock,1.745490057,870.2738205
2006,S3,Hemlock,1.453357617,733.7321871
2007,S3,Hemlock,1.221605344,685.7803531
2008,S3,Hemlock,1.329664305,670.5042866
1996,S11,Deciduous,1.465247428,899.2174102
1997,S11,Deciduous,1.068983793,668.7208108
1998,S11,Deciduous,1.530796678,1028.574077
1999,S11,Deciduous,1.107822929,637.2754145
2000,S11,Deciduous,1.640788489,1003.660951
2001,S11,Deciduous,1.972802008,984.9024292
2002,S11,Deciduous,1.65830853,971.9670734
2003,S11,Deciduous,2.26005162,1075.484977
1996,S12,Deciduous,1.398133994,838.5081232
1997,S12,Deciduous,1.167815676,721.5310676
1998,S12,Deciduous,1.415522249,902.1789496
1999,S12,Deciduous,0.878711951,491.0945623
2000,S12,Deciduous,1.271121358,765.8236181
2001,S12,Deciduous,1.493107329,945.6491816
2002,S12,Deciduous,1.636833656,1008.164565
2003,S12,Deciduous,1.671250573,852.3452771
1996,S13,Deciduous,1.921302324,1096.418366
1997,S13,Deciduous,1.364362457,941.1488967
1998,S13,Deciduous,1.802787058,1063.556218
1999,S13,Deciduous,0.948798873,518.0369453
2000,S13,Deciduous,1.44489598,1035.522238
1998,S17,Hemlock,1.560298037,854.3915953
1999,S17,Hemlock,1.540059884,846.7638503
2000,S17,Hemlock,1.681519283,887.6205359
2001,S17,Hemlock,1.239570615,688.3258514
2004,S17,Hemlock,1.60086149,825.1064302
