Study,S2-Drydown,S2-Drydown,S2-Drydown after treatment,S2-Drydown after treatment,S3-Girdled before treatment,S3-Girdled before treatment,S3-Girdled,S3-Girdled,S3-Girdled,S3-Girdled,S3-Girdled,S3-Logged before treatment,S3-Logged,S3-Logged,S3-Logged,S3-Logged,S3-Logged,S21-Partially logged,S21-Partially logged,S19-Warming before treatment,S19-Warming,S19-Warming,S19-Warming,S19-Warming,S19-Warming,S19-Warming,S19-Warming,S20-Warming,S20-Warming,S20-Warming,S20-Warming,S20-Warming,S20-Warming,S20-Warming,S20-Warming,S20-Warming,S20-Warming,S20-Warming,S20-Disturbance control,S20-Disturbance control,S20-Disturbance control,S20-Disturbance control,S20-Disturbance control,S20-Disturbance control,S20-Disturbance control,S20-Disturbance control,S20-Disturbance control,S20-Disturbance control,S20-Disturbance control,S15-Warming,S15-Warming,S15-Warming,S15-Warming,S15-Warming+fertilized,S15-Warming+fertilized,S15-Warming+fertilized,S15-Warming+fertilized,S15-Fertilized,S15-Fertilized,S15-Fertilized,S15-Fertilized,S16-Hardwood-high fert.,S16-Hardwood low fert.,S16-Pine high fert.,S16-Pine low fert.,S22-Double litter,S22-Double litter,S22-Double litter,S22-Double litter,S22-Double litter,S22-Double litter,S22-No litter,S22-No litter,S22-No litter,S22-No litter,S22-No litter,S22-No litter,S22-Trenching,S22-Trenching,S22-Trenching,S22-Trenching,S22-Trenching,S22-Trenching,S22-Trenching+no litter,S22-Trenching+no litter,S22-Trenching+no litter,S22-Trenching+no litter,S22-Trenching+no litter,S22-Trenching+no litter,S22-No O/A horizons,S22-No O/A horizons,S22-No O/A horizons,S22-No O/A horizons,S22-No O/A horizons,S22-No O/A horizons
Year,2001,2002,2003,2004,2003,2004,2005,2006,2007,2008,2009,2004,2005,2006,2007,2008,2009,2002,2003,2002,2003,2004,2005,2006,2007,2008,2009,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2006,2007,2008,2009,2006,2007,2008,2009,2006,2007,2008,2009,2009,2009,2009,2009,1992,1993,1994,1995,2000,2001,1992,1993,1994,1995,2000,2001,1992,1993,1994,1995,2000,2001,1992,1993,1994,1995,2000,2001,1992,1993,1994,1995,2000,2001
NaN,0.78247804,0.674512466,1.046107406,0.976715318,1.039901602,0.996401839,0.77779419,0.926589014,0.777367715,0.650813321,0.699237795,0.862764902,0.957632189,0.84127063,0.781575066,1.012630885,0.955964142,0.803295774,0.847306767,0.935017812,1.246183858,1.029316565,1.016647725,0.921887247,1.016493161,0.995249263,1.026909351,1.223266479,1.266032833,1.120902459,1.268045181,1.163220821,1.107735416,1.057966194,0.92181227,1.029473492,1.025595188,0.849899623,0.996679234,1.046214014,1.003014963,1.061532696,1.176528729,1.08105619,1.141587779,1.154639826,1.131808779,1.240247908,1.078669599,1.418426195,1.376404284,1.527863258,1.328471034,1.375521267,1.442071321,1.603144553,1.405553535,1.346910862,1.210943979,1.328247056,1.281953616,0.867662603,0.936480218,0.982025652,0.871282686,1.21105254,1.152871172,1.273342308,1.236926962,0.894781677,1.084245668,0.999625499,0.789776628,0.854657932,0.739865892,0.678116911,0.801009349,0.620700915,0.624380415,0.471135448,0.443148366,0.321762377,0.307253028,0.618929754,0.658634499,0.628460429,0.613171159,0.407785141,0.284737882,0.462476278,0.493656697,0.311990492,0.308464544,0.365197515,0.495738109
NaN,0.765864063,0.666072675,1.002452646,1.004668079,1.104879929,1.0444733,0.797797712,0.984819314,0.791106004,0.692799563,0.714819943,0.883664494,0.960999362,0.827722222,0.743699126,0.938772959,1.002437469,0.796885543,0.876327787,0.932165922,1.285029455,1.064207048,1.086927538,0.982869939,1.058705003,0.973112026,0.988072535,1.252100132,1.296319219,1.097664048,1.186174088,1.065465067,1.056762966,0.985233845,0.904093765,0.977081929,0.949275044,0.839075416,1.020171992,1.071241834,0.982220581,0.992995042,1.077654593,1.031311384,1.06310667,1.132446053,1.074209209,1.147954281,1.064931808,1.552213504,1.49518413,1.569738802,1.512561185,1.398704033,1.492727943,1.634053631,1.383818004,1.375876218,1.200057542,1.349521747,1.246277792,0.827883611,0.989434935,0.876661571,0.868322048,1.395619579,1.033985913,1.303065648,1.288944907,0.883910303,1.010652936,0.905057225,0.857264196,0.892155044,0.699794532,0.687855767,0.773859991,0.568807963,0.677208839,0.476287336,0.445970798,0.336549359,0.279317215,0.605908424,0.664050973,0.622794295,0.570299647,0.404324516,0.298692097,0.470947431,0.503099136,0.320279359,0.300398568,0.35781957,0.459777231
NaN,0.79470778,0.680621248,1.000367594,1.003571444,1.10151595,1.016521184,0.791896112,0.951075917,0.81025343,0.750797087,0.784675909,0.904742518,0.961325473,0.80461448,0.737947601,0.971565149,1.067577833,0.81177283,0.873275063,0.920755352,1.214277888,0.994963281,1.051796924,0.983529684,1.074741967,1.017481516,0.956675483,1.17631255,1.191777519,1.100344084,1.366923606,1.191841567,1.117033064,1.081473797,0.942075017,1.051950771,1.033098651,0.879481821,1.038883713,1.02232718,0.993048375,1.026197447,1.160153711,1.03413394,1.084253178,1.075359851,1.06430227,1.121185785,0.982561501,1.552213504,1.49518413,1.569738802,1.512561185,1.375521267,1.442071321,1.603144553,1.405553535,1.375876218,1.200057542,1.349521747,1.246277792,0.813898795,0.909817316,0.91692308,0.916315673,1.45276055,1.066802279,1.296984023,1.305937955,0.826202545,1.093307002,1.034034615,0.802525254,0.863672809,0.765364364,0.644202865,0.769724597,0.663027746,0.636994239,0.450453964,0.465412857,0.303868133,0.31985291,0.672090846,0.650953471,0.609651868,0.585804756,0.379273412,0.317751724,0.51709626,0.504573126,0.30756896,0.308284,0.341747713,0.492323784
NaN,0.815207215,0.712281015,1.120850939,1.170293981,1.088640585,1.017502177,0.788782906,0.965075905,0.758575622,0.723429283,0.744533984,0.790719184,1.010604892,0.861799256,0.758398512,0.99874522,0.997514664,0.81698728,0.880229793,0.920649563,1.268260659,1.050827672,1.061139579,0.996333124,1.046122217,0.982231544,0.976651654,1.192762654,1.292314813,1.120269883,1.183296034,1.08948983,1.074696584,1.044465823,0.951876388,1.034112023,0.986001626,0.840956215,0.984898969,1.036670028,0.962058688,0.917153253,1.024728004,0.989942336,1.039620571,1.100475136,1.031200876,1.109414258,0.982257055,1.456121713,1.377984471,1.555535257,1.346228545,1.340921033,1.441136301,1.57211402,1.394775954,1.235872358,1.140846478,1.239976784,1.226509239,0.774214396,0.826808347,0.987544186,0.981375118,1.188429076,1.138505824,1.300136525,1.29391298,0.950555094,1.023707787,1.012568317,0.846166357,0.872680282,0.715787741,0.710643132,0.688143066,0.580797852,0.687139718,0.467829843,0.399685699,0.360861474,0.288759602,0.668680829,0.654443501,0.61481008,0.580231624,0.404758555,0.28017683,0.474407492,0.510880421,0.296371811,0.283715757,0.381105267,0.442383249
NaN,0.753398582,0.670993215,1.010377275,0.996887417,1.075702456,1.031407932,0.80216214,0.966330147,0.759936283,0.693550592,0.700147785,0.88762989,1.052372656,0.887804722,0.769429085,1.01623297,1.034931836,0.792101734,0.836166364,0.872527611,1.17228929,0.985532832,1.036452426,0.976711942,1.049676785,1.000910889,0.992196236,1.273054651,1.346182496,1.174418338,1.270846588,1.148440211,1.106840794,1.071904843,0.976719394,1.046577734,1.006591237,0.877753111,1.111048801,1.086840011,1.008290579,1.027183846,1.042839461,1.014438338,1.006984346,1.042744548,0.994022732,1.02573403,1.005305135,1.351894389,1.358274478,1.427417566,1.305911946,1.283395731,1.406318909,1.525460612,1.323968001,1.324060122,1.157146239,1.24402918,1.177268119,0.8006589,0.873161873,0.897233876,0.87080711,1.402982221,1.076337165,1.330281599,1.260991582,0.9192304,1.101102898,0.967826193,0.863378488,0.904551472,0.787662192,0.683176842,0.795323513,0.62526425,0.655048103,0.482900061,0.472479792,0.340659785,0.268331292,0.646482341,0.658247956,0.620783729,0.613742604,0.387892744,0.300890274,0.47618611,0.526831341,0.304911096,0.307074152,0.352806517,0.483868073
NaN,0.756145668,0.641946627,1.022300441,0.970962846,1.089157844,1.002099638,0.806651999,0.943762968,0.769400466,0.703145337,0.732829513,0.867856849,1.018085347,0.86030638,0.799998493,1.069622827,1.031217388,0.824189386,0.858624994,0.9182191,1.222328936,1.005398845,1.027668168,0.9683976,0.991686886,0.946117355,1.001594255,1.215004005,1.290706332,1.137234688,1.260856577,1.173982191,1.123176005,1.086889519,0.972568925,1.04964938,1.035599656,0.968927262,1.065945158,1.064129498,0.98119647,0.974524884,1.04268095,0.996110963,0.988887312,0.98322656,0.913754767,1.060193157,0.987942111,1.397518139,1.32463823,1.519911463,1.301776542,1.479446609,1.469708687,1.621167194,1.453017891,1.233566641,1.19739065,1.306476348,1.190012457,0.763234526,0.894176794,0.97562096,0.976282199,1.436188282,1.056158422,1.321963838,1.283810201,0.873379511,1.204560015,0.891325243,0.808248919,0.864477504,0.793216905,0.669292248,0.828434561,0.593148788,0.675470626,0.467314939,0.464931782,0.332208732,0.295504784,0.612462749,0.654394799,0.622584074,0.628702704,0.388969726,0.308251238,0.454832595,0.518797989,0.30978609,0.327515788,0.345944239,0.483072435
NaN,0.785479547,0.656402217,1.052976038,1.014771449,1.123898848,1.091157369,0.848376325,0.996257376,0.796939559,0.709112265,0.702516461,0.947958464,1.079819138,0.904575395,0.812682591,0.999336102,1.017232075,0.809208721,0.839232932,0.961076138,1.296484799,1.067873491,1.083394155,1.011772179,1.077193662,1.004286518,1.002459355,1.192417884,1.261537153,1.100624545,1.163921615,1.0689749,1.049326213,0.998910313,0.89681292,0.959197486,0.948343069,0.821265396,1.032243882,1.071446353,0.989477123,0.971630465,1.020968593,0.985958471,0.985246249,0.982289352,0.920609894,1.043458041,0.909898348,1.251695648,1.224227788,1.4307546,1.211101873,1.252757801,1.379575936,1.538201273,1.287428773,1.292451429,1.135141607,1.254419323,1.144777554,0.78291785,0.926604679,0.88115888,0.927345694,1.35165078,1.117725467,1.283122905,1.231100818,0.888706579,1.131941219,0.882301386,0.792258384,0.839770753,0.735653908,0.631336948,0.835657369,0.564578615,0.668332995,0.452806614,0.462679009,0.322734842,0.322904456,0.643996258,0.66890875,0.600294068,0.577262425,0.388729445,0.313327079,0.461953367,0.509292289,0.300096074,0.299567613,0.339420771,0.547015249
NaN,0.796506649,0.683194316,1.079823952,1.00702991,1.102278293,1.033708467,0.810840811,1.010249731,0.779241579,0.742521858,0.768818919,0.928641784,1.033007017,0.849979968,0.748888317,1.057174016,1.028162666,0.841412888,0.894853264,0.912411516,1.222834891,1.051307128,1.114719513,0.986003637,1.129712002,1.066378083,1.016921537,1.162409106,1.180905644,1.055413553,1.181007836,1.038065115,1.022886998,0.984876,0.897881842,0.958441546,0.924117159,0.800872875,1.046432416,1.065455619,0.96655938,0.914577796,0.967638436,0.953116025,0.950288857,0.962307269,0.900228979,1.009417269,0.857459678,1.587512836,1.496336632,1.705849983,1.405968216,1.461397767,1.529684634,1.684028156,1.457826832,1.371145418,1.245694585,1.341616476,1.191039835,0.698596745,0.882871716,0.976929357,0.914143845,1.339033674,1.108615959,1.307207477,1.232005333,0.927349579,1.068490073,0.85910168,0.784814262,0.906023426,0.718970988,0.695058985,0.796714793,0.590834156,0.618976863,0.476720806,0.42175151,0.353767351,0.296815525,0.610325986,0.657362099,0.60016197,0.563742793,0.409490031,0.302617919,0.481326045,0.49947742,0.320745087,0.291402815,0.37884165,0.475087589
NaN,0.799416926,0.67875734,1.042439719,1.028676254,1.057330876,1.013848585,0.80491121,0.913826767,0.751505017,0.6737159,0.695912646,0.872026026,0.992193765,0.82782795,0.757780733,0.941829643,0.935689346,0.79791809,0.864756168,0.917070683,1.261384148,1.058190319,1.111358642,0.983766664,1.090402279,1.016601717,0.966877682,1.250693954,1.258488614,1.11882613,1.22555809,1.097091903,1.045537052,0.999083473,0.912663203,0.970025164,0.955899294,0.889914509,1.065945158,1.064129498,0.98119647,0.974524884,1.04268095,0.996110963,0.988887312,0.98322656,0.913754767,1.060193157,0.987942111,1.566170758,1.493103769,1.645100118,1.41504847,1.229816844,1.433887373,1.521680466,1.356797548,1.357861768,1.225041758,1.332376776,1.253331311,0.762907518,0.949850333,0.957015283,0.945744948,1.320002958,1.168055814,1.354248083,1.298199568,0.930465969,1.04361722,0.914562608,0.787197825,0.879971638,0.767981616,0.689545297,0.813949373,0.59097852,0.655648113,0.486005157,0.473839865,0.365498931,0.306526591,0.656474774,0.676601267,0.615904057,0.586077035,0.41021554,0.312684244,0.46837018,0.515405389,0.310198106,0.312357746,0.378875627,0.505853587
