Rs measured,Rs modeled
0.135319066,0.440749275
0.16159088,0.440749275
0.122543613,0.440749275
0.139336862,0.440749275
0.419523824,0.518823005
0.635403247,0.487279155
0.541669729,0.487279155
0.534201964,0.487279155
0.335252983,0.487279155
0.578681791,0.487279155
0.32,0.488715759
0.17,0.488715759
0.22,0.488715759
0.36,0.615640027
0.03,0.560289911
0.1,0.560289911
0.54,0.503862836
0.23,0.503862836
0.13,0.503862836
0.47,0.503862836
0.42,0.425193771
0.31,0.425193771
0.344803548,0.368301794
0.326586512,0.368301794
0.358166611,0.368301794
0.345088797,0.368301794
0.256009128,0.368301794
0.252426018,0.373142762
0.206130477,0.662837784
0.337786519,0.662837784
0.217602523,0.662837784
0.832413197,0.662837784
0.295134053,0.48450556
0.170781967,0.48450556
0.152981943,0.48450556
0.208395484,0.48450556
0.11378808,0.48450556
0.165605246,0.48450556
0.375352609,0.510485621
0.18491758,0.510485621
0.242501231,0.503862836
0.222514145,0.503862836
0.286444413,0.503862836
0.259954763,0.503862836
0.326424787,0.716860053
0.705634741,0.716860053
0.557264438,0.716860053
0.483446465,0.716860053
0.244732102,0.716860053
0.383195238,0.716860053
0.574567043,0.637373049
0.157434921,0.637373049
0.288729338,0.637373049
0.190513009,0.637373049
0.828472103,0.629104089
0.281957555,0.629104089
0.205750539,0.629104089
0.097937692,0.629104089
0.323578745,0.629104089
0.25,0.427300229
0.25,0.427300229
0.32,0.427300229
0.31,0.364058045
0.13,0.364058045
0.22,0.364058045
0.04,0.364058045
0.07,0.364058045
0.63,0.364058045
0.18,0.41357853
0.15,0.41357853
0.26,0.41357853
0.22,0.39065222
0.23,0.39065222
0.83,0.39065222
0.27,0.39065222
0.16,0.39065222
0.2,0.39065222
0.34,0.350820571
0.18,0.350820571
0.13,0.291608397
0.05,0.291608397
0.32,0.291608397
0.09,0.291608397
0.19,0.291608397
0.2,0.295972816
0.19,0.295972816
0.18,0.295972816
0.04,0.295972816
0.14,0.295972816
0.07,0.295972816
0.08,0.338875085
0.23,0.338875085
0.31,0.338875085
0.15,0.338875085
0.29,0.338875085
0.22,0.338875085
0.09,0.338875085
0.18,0.338875085
0.59,0.318971116
0.4,0.318971116
0.29,0.318971116
0.41,0.318971116
0.5,0.318971116
0.45,0.318971116
0.355133446,0.484510083
0.35276735,0.484510083
0.269173568,0.478064095
0.325756674,0.478064095
0.126946611,0.317130787
0.024311656,0.317130787
0.013575081,0.317130787
0.419725972,0.35238065
0.295738847,0.35238065
0.019164524,0.35238065
0.071811937,0.35238065
0.033209476,0.35238065
0.174589119,0.35238065
0.137889688,0.336157919
0.085178719,0.336157919
0.090921674,0.336157919
0.19177935,0.260925745
0.055869932,0.260925745
0.115110147,0.260925745
0.136736501,0.284035817
0.071046372,0.386667479
0.167122102,0.386667479
0.307410322,0.386667479
0.115738369,0.386667479
0.089324672,0.326456587
0.057403754,0.326456587
0.126896601,0.326456587
0.218171679,0.326456587
0.007101943,0.326456587
0.316863502,0.373557664
0.253167206,0.373557664
0.150538832,0.373557664
0.161366117,0.35170915
0.09038036,0.35170915
0.403162994,0.35170915
0.251422331,0.35170915
0.44628927,0.426446242
0.254837454,0.369535355
0.095064355,0.369535355
0.302617844,0.343050841
0.083057935,0.343050841
0.121029564,0.343050841
0.191231794,0.456233747
0.18771292,0.456233747
0.298772119,0.456233747
0.313916604,0.456233747
0.558880493,0.351281532
0.536269448,0.351281532
0.202897144,0.351281532
0.693774381,0.351281532
0.301540296,0.351281532
0.205589337,0.306395407
0.158589033,0.306395407
0.258668357,0.306395407
0.341396815,0.306395407
0.642843616,0.325996697
0.26806839,0.325996697
0.331496109,0.325996697
0.541100187,0.325996697
0.5734557,0.543742819
0.285084201,0.543742819
0.381501881,0.543742819
0.416549152,0.543742819
0.255848933,0.543742819
0.309110694,0.543742819
0.320053669,0.472932215
0.356564926,0.472932215
0.20791888,0.472932215
0.25958442,0.482620675
0.575331029,0.482620675
0.239238364,0.482620675
0.094222949,0.404842732
0.258885012,0.404842732
0.381015232,0.404842732
0.295033593,0.404842732
0.374528065,0.404842732
0.062224346,0.404842732
0.176115177,0.410600502
0.205039051,0.410600502
0.239436053,0.410600502
0.189172173,0.410600502
0.180081916,0.410600502
0.158898246,0.410600502
0.273127669,0.466985758
0.266420361,0.466985758
0.484718228,0.466985758
0.178279539,0.466985758
0.108351847,0.466985758
0.183311996,0.466985758
0.684359501,0.440873291
0.606477651,0.440873291
0.198649151,0.440873291
0.781026853,0.440873291
0.436406794,0.440873291
0.607289878,0.440873291
0.251501151,0.529917935
0.169313355,0.529917935
0.142967793,0.529917935
0.26550004,0.462183767
0.139923997,0.462183767
0.527647892,0.462183767
0.605991914,0.430505151
0.274371955,0.430505151
0.341141163,0.430505151
0.38521,0.565203869
0.382050494,0.565203869
0.396378107,0.565203869
0.446270648,0.565203869
0.258819687,0.468872016
0.309591381,0.468872016
0.344112913,0.468872016
0.401063792,0.468872016
0.430320825,0.462183767
0.597446207,0.462183767
0.524934385,0.462183767
0.346926341,0.462183767
0.071837788,0.40396874
0.050043198,0.40396874
0.313153109,0.43809276
0.13594569,0.43809276
0.393662845,0.43809276
0.240740324,0.43809276
0.473805638,0.43809276
0.246001165,0.43809276
0.290464461,0.432890924
0.628526043,0.432890924
0.197710211,0.432890924
0.386395876,0.432890924
0.379569484,0.432890924
0.388151053,0.404023659
0.270385242,0.410048228
0.177557107,0.410048228
0.259134468,0.410048228
0.32213518,0.404023659
0.303781139,0.404023659
0.204974539,0.404023659
0.576408135,0.358906781
0.232562239,0.358906781
0.398494499,0.358906781
0.121028904,0.358906781
0.178497421,0.358906781
0.262148162,0.318828056
0.419491808,0.318828056
0.174629417,0.318828056
0.299744691,0.318828056
0.246209987,0.323582237
0.153193377,0.323582237
0.3504688,0.318828056
0.361574763,0.318828056
0.19989065,0.318828056
0.256287527,0.318828056
0.360748341,0.318828056
0.237223035,0.318828056
0.349535477,0.61149761
0.220664652,0.61149761
0.508634759,0.61149761
0.325836996,0.61149761
0.346669539,0.61149761
0.272311573,0.61149761
0.54653549,0.428666321
0.257787117,0.435058347
0.24113568,0.435058347
0.144109656,0.435058347
0.500171378,0.441545688
0.306623991,0.441545688
0.213787817,0.441545688
0.314803158,0.441545688
0.466149737,0.441545688
0.263657948,0.38647586
0.230875968,0.38647586
0.274783896,0.38647586
0.128399458,0.38647586
0.61950058,0.422368209
0.38287221,0.422368209
0.393223002,0.422368209
0.596802827,0.422368209
0.288774083,0.668287925
0.096550197,0.668287925
0.158269746,0.668287925
0.204679596,0.668287925
0.12702877,0.668287925
0.157664653,0.668287925
0.5696456,0.584938678
0.234998529,0.584938678
0.298076066,0.584938678
0.487820211,0.584938678
0.562285028,0.584938678
1.150029979,0.576344559
0.254758507,0.576344559
0.240789141,0.576344559
0.374550095,0.576344559
0.24,0.520949356
0.25,0.520949356
0.29,0.520949356
0.2,0.554202483
0.25,0.554202483
0.03,0.476213179
0.22,0.476213179
0.26,0.476213179
0.22,0.476213179
0.15,0.476213179
0.34,0.476213179
0.04,0.53733653
0.04,0.53733653
0.12,0.53733653
0.15,0.53733653
0.09,0.53733653
0.69,0.53733653
0.03,0.53733653
0,0.53733653
0.71,0.509089847
0.14,0.509089847
0.3,0.509089847
0.42,0.509089847
0.34,0.509089847
0.2,0.56181328
0.08,0.56181328
0.13,0.56181328
0.26,0.532149522
0.47,0.497846043
0.43,0.497846043
0.58,0.497846043
0.65,0.642755739
0.32,0.642755739
0.36,0.642755739
0.28,0.642755739
0.46,0.539373127
0.3,0.539373127
0.29,0.539373127
0.46,0.469051256
0.31,0.469051256
0.32,0.469051256
0.24,0.497921391
0.28,0.497921391
0.33,0.497921391
0.17,0.4278576
0.2,0.4278576
0.18,0.4278576
0.29,0.4278576
0.22,0.4278576
0.22,0.4278576
0.33,0.482769482
0.2,0.482769482
0.28,0.482769482
0.04,0.482769482
0.04,0.482769482
0.26,0.482769482
0.06,0.482769482
0.07,0.482769482
0.17,0.482769482
0.32,0.457393349
0.36,0.457393349
0.36,0.457393349
0.44,0.457393349
0.28,0.457393349
0.49,0.504758709
0.18,0.504758709
0.2,0.478109609
0.16,0.478109609
0.18,0.478109609
0.16,0.447292155
0.54,0.447292155
0.17,0.447292155
0.48,0.577474594
0.28,0.577474594
0.52,0.577474594
0.52,0.577474594
0.21,0.484599107
0.34,0.484599107
0.14,0.484599107
0.28,0.484599107
0.05,0.421369692
0.1,0.421369692
0.09,0.421369692
0.18,0.421369692
0.2,0.433294094
0.3,0.433294094
0.33,0.433294094
0.44,0.554188531
0.03,0.473896556
0.15,0.473896556
0.2,0.473896556
0.22,0.473896556
0.18,0.473896556
0.42,0.536792072
0.24,0.536792072
0.48,0.536792072
0.2,0.536792072
0.56,0.536792072
0.07,0.536792072
0.18,0.536792072
0.36,0.536792072
0.32,0.536792072
0.58,0.507696294
0.35,0.507696294
0.23,0.507696294
0.5,0.507696294
0.11,0.606708842
0.22,0.606708842
0.45,0.562044298
0.27,0.562044298
0.31,0.562044298
0.54,0.531445397
0.5,0.531445397
0.38,0.531445397
0.13,0.496128708
0.14,0.496128708
0.31,0.496128708
0.49,0.645794448
0.49,0.645794448
0.71,0.645794448
0.46,0.645794448
0.43,0.538891813
0.23,0.538891813
0.16,0.538891813
0.39,0.538891813
0.17,0.531445397
0.25,0.531445397
0.08,0.466481855
0.07,0.466481855
0.08,0.466481855
0.04,0.466481855
0.22,0.507125501
0.6,0.507125501
0.44,0.507125501
0.2,0.507125501
0.05,0.553696398
0.04,0.553696398
0.08,0.553696398
0.03,0.553696398
0,0.540649362
0,0.540649362
0,0.540649362
0,0.540649362
0.13,0.540649362
0,0.540649362
0.12,0.540649362
0,0.540649362
-0.01,0.540649362
0.42,0.540649362
0,0.540649362
-0.01,0.540649362
0.43,0.540649362
-0.01,0.540649362
0.38,0.540649362
0,0.540649362
0.01,0.540649362
0,0.540649362
0.09,0.540649362
0.01,0.540649362
0.07,0.540649362
-0.04,0.540649362
0.03,0.540649362
0.11,0.540649362
0.47,0.535466678
0.46,0.535466678
0.32,0.535466678
0.15,0.535466678
0.17,0.535466678
0.24,0.535466678
0.22,0.535466678
0.11,0.535466678
0.38,0.535466678
0.19,0.535466678
0.56,0.535466678
0.2,0.535466678
0.71,0.535466678
0.45,0.535466678
0.01,0.535466678
0.7,0.535466678
0.09,0.535466678
0.16,0.535466678
0.43,0.535466678
0.05,0.535466678
0,0.535466678
0.11,0.535466678
0.5,0.588052774
0.77,0.596094962
0.33,0.596094962
0.5,0.596094962
1.11,0.596094962
0.56,0.596094962
0.71,0.596094962
2.16,0.596094962
0.5,0.596094962
0.62,0.596094962
0.54,0.596094962
0.73,0.596094962
0.74,0.655042853
1.52,0.655042853
0.8,0.655042853
0.92,0.656143047
1.6,0.656143047
1,0.656143047
0.91,0.657245089
3.09,0.657245089
0.73,0.658348981
0.93,0.658348981
0.55,0.659454728
1.02,0.659454728
0.38,0.471577585
0.32,0.470872334
0.27,0.469464771
0.42,0.469464771
0.24,0.469464771
0.23,0.570740482
0.13,0.570740482
0.28,0.562816072
0.33,0.562816072
0.35,0.570740482
0.33,0.570740482
0.44,0.570740482
0.21,0.570740482
0.15,0.562816072
0.15,0.496268616
0.14,0.524814176
0.2,0.517527427
0.08,0.517527427
0.24,0.524814176
0.26,0.449998954
0.19,0.443750972
0.19,0.443750972
0.22,0.443750972
0.18,0.443750972
0.22,0.443750972
0.28,0.443750972
0.32,0.443750972
0.41,0.675001779
0.61,0.675001779
0.57,0.694143547
0.34,0.694143547
0.53,0.703917038
0.43,0.713828139
0.42,0.723878788
0.56,0.723878788
0.41,0.531514263
0.31,0.435043923
0.19,0.409518237
0.16,0.331408574
0.16,0.331408574
0.32,0.545767384
