Day of year,Soil temperature,Air temperature
1,1.374470978,-4.11563606
2,1.334768196,-4.16712963
3,1.358817944,-2.765972222
4,1.396412391,-1.941435185
5,1.49507761,-2.521296296
6,1.696396112,-3.007638889
7,1.606466477,-3.843981481
8,1.473703076,-4.144907407
9,1.396505088,-4.2875
10,1.285197141,-5.209953704
11,1.185129933,-5.289351852
12,1.109368086,-3.588194444
13,1.173825149,-1.527083333
14,1.241214603,-4.09375
15,1.194383384,-7.295833333
16,1.175538159,-6.934490741
17,1.129605245,-6.252314815
18,0.988903428,-6.605092593
19,0.892473991,-6.647916667
20,0.847902529,-6.788657407
21,0.829156654,-7.487962963
22,0.770910645,-6.051851852
23,0.738783636,-5.213425926
24,0.671334571,-3.701157407
25,0.627502081,-5.499305556
26,0.572655964,-7.737962963
27,0.550220934,-7.440972222
28,0.574106447,-5.31412037
29,0.5467401,-4.779166667
30,0.471187056,-4.725925926
31,0.485639473,-5.053703704
32,0.481610624,-3.940740741
33,0.463417252,-3.593055556
34,0.460770738,-3.696296296
35,0.478680671,-4.410185185
36,0.497270418,-5.047685185
37,0.43846149,-5.236805556
38,0.375700642,-4.792824074
39,0.3637327,-5.159953704
40,0.37258307,-4.482407407
41,0.365558842,-3.179166667
42,0.331214334,-4.040509259
43,0.305699091,-5.454398148
44,0.288616544,-5.978240741
45,0.250590555,-5.435416667
46,0.337513475,-4.68912037
47,0.355531545,-3.359953704
48,0.34450231,-3.880324074
49,0.341121407,-3.10775463
50,0.34725491,-2.905555556
51,0.336172649,-1.148148148
52,0.363217712,-0.778935185
53,0.37131833,-1.821527778
54,0.404179201,-2.879398148
55,0.363316788,-3.602546296
56,0.33296984,-4.415509259
57,0.328695302,-3.196064815
58,0.405742565,-2.304166667
59,0.39629724,-2.661111111
60,0.386514288,-3.429861111
61,0.386004054,-2.316898148
62,0.475626223,-2.615046296
63,0.463118413,-2.918981481
64,0.397875073,-1.708564815
65,0.385415229,-1.50625
66,0.414992937,-0.425231481
67,0.517024846,0.554861111
68,0.563525137,-0.90162037
69,0.702815211,-1.006481481
70,0.596219731,-1.731481481
71,0.533664581,-1.426157407
72,0.5451885,-0.663194444
73,0.631650474,-0.206944444
74,0.621337398,0.615972222
75,0.623433356,0.504166667
76,0.595585711,0.546990741
77,0.667223773,-0.687268519
78,0.644298641,-1.296759259
79,0.665274478,-0.322685185
80,0.646917284,0.61087963
81,0.69831068,0.810416667
82,0.75121726,0.143981481
83,0.772429593,0.912731481
84,0.817310153,1.655324074
85,0.861321961,3.270601852
86,0.968150545,5.783796296
87,1.336601103,5.436111111
88,1.632873653,4.983796296
89,1.760288159,4.543055556
90,1.968592504,4.790972222
91,1.987787068,3.676851852
92,2.044674333,4.612731481
93,2.209012772,4.399074074
94,2.155569452,2.544907407
95,1.980540901,2.608101852
96,1.972394484,3.161342593
97,2.021181768,4.027777778
98,2.241079378,3.920833333
99,2.540927294,5.423842593
100,2.986943788,5.212962963
101,3.09656644,5.146990741
102,3.122720507,4.611111111
103,3.541259721,6.653009259
104,3.779089711,6.317824074
105,4.051890441,7.442361111
106,4.470524122,8.22662037
107,4.766453153,7.675694444
108,4.959001147,7.481481481
109,5.18257708,8.65162037
110,5.474189159,10.08009259
111,5.607202271,9.630555556
112,5.659745502,9.507407407
113,5.738916128,8.820601852
114,6.241287544,9.646759259
115,6.342066887,8.118981481
116,6.214183858,8.340277778
117,6.585451423,8.713194444
118,6.712274339,8.71875
119,6.456366224,8.173611111
120,6.754575572,10.07662037
121,7.225519764,10.94421296
122,7.511848354,11.06412037
123,7.595928865,10.96712963
124,7.975623812,11.66458333
125,8.092622983,10.99513889
126,8.140691376,10.66875
127,8.239524079,11.02106481
128,8.414801344,12.06134259
129,8.699299494,12.63402778
130,9.04704843,12.54074074
131,9.231780791,12.25416667
132,9.433862999,11.99328704
133,9.166535251,10.03055556
134,9.034561569,11.26990741
135,9.260579882,12.32407407
136,9.563667312,12.48518519
137,9.571093363,10.76412037
138,9.398220393,11.27453704
139,9.545990244,11.87361111
140,9.857394995,12.45023148
141,9.978617552,12.9474537
142,10.08895376,13.15300926
143,10.13657851,12.54282407
144,10.29001918,14.10185185
145,10.62321975,13.6599537
146,10.64774423,12.36736111
147,10.51456951,12.57060185
148,10.71121071,14.12453704
149,10.98041427,14.59259259
150,11.1708023,15.01435185
151,11.22382662,14.91319444
152,11.52190648,15.35532407
153,11.58345003,14.67962963
154,11.61260559,14.51342593
155,11.67940272,14.22013889
