Start bin,End bin,No. autochambers measurements,No. manual measurements
-8,-7,3,0
-7,-6,5,0
-6,-5,9,0
-5,-4,22,0
-4,-3,34,0
-3,-2,73,6
-2,-1,170,37
-1,0,349,81
0,1,474,157
1,2,625,151
2,3,707,216
3,4,850,295
4,5,1166,446
5,6,1562,615
6,7,1976,592
7,8,1888,610
8,9,2621,747
9,10,5407,692
10,11,4703,749
11,12,6277,845
12,13,5389,1042
13,14,4545,1050
14,15,4685,1337
15,16,8127,1914
16,17,8337,2034
17,18,5622,1662
18,19,4223,1076
19,20,4079,573
20,21,1192,315
21,22,800,142
22,23,534,45
23,24,360,19
24,25,246,4
25,26,136,3
26,27,89,0
27,28,68,1
28,29,34,1
29,30,22,0
30,31,25,0
31,32,9,0
32,33,5,0
33,34,3,0
34,35,9,0
35,36,4,0
36,37,2,0
37,38,5,0
38,39,4,0
39,40,2,0
40,41,1,0
41,42,1,0
