Day of year,Wind speed,Friction velocity
1,2.576278322,0.632222093
2,2.401778912,0.528205892
3,2.766807604,0.633602128
4,2.715468396,0.599684775
5,2.790324096,0.666467407
6,2.351604833,0.538088971
7,2.548210986,0.590490741
8,2.675376569,0.60180155
9,2.669467133,0.634917216
10,2.459046248,0.559581661
11,2.359299379,0.564300346
12,2.540486498,0.58961495
13,2.580961323,0.644031944
14,2.805458461,0.683035616
15,2.504298359,0.578178567
16,2.82641713,0.675723871
17,2.612515287,0.588103058
18,2.635244795,0.606478014
19,2.674579763,0.6186067
20,2.634873461,0.620313274
21,2.507617298,0.537819006
22,2.508839449,0.576131935
23,2.891970911,0.629593614
24,2.75549432,0.638362857
25,2.581198177,0.640322611
26,2.527964474,0.597676301
27,2.398740249,0.528251968
28,2.825532134,0.632575694
29,2.511860541,0.58879967
30,2.347357672,0.480076768
31,2.296443108,0.475492029
32,2.240039711,0.498921642
33,2.521482201,0.512562829
34,2.469330562,0.541904942
35,2.793970067,0.587744185
36,3.270154994,0.816702579
37,2.494920585,0.619015666
38,2.491509925,0.61861465
39,2.414631251,0.598318895
40,2.639244821,0.65503027
41,2.278868783,0.524501701
42,2.631653715,0.640731026
43,3.011935211,0.766459159
44,2.779516542,0.703379336
45,2.756872507,0.638884701
46,2.617377799,0.637563514
47,2.495155571,0.588457621
48,2.969418912,0.699270505
49,2.674757496,0.594194789
50,2.626511008,0.607811594
51,2.557793401,0.573466482
52,2.577798476,0.597112767
53,2.396010606,0.523679571
54,2.481768321,0.558817683
55,3.111964819,0.733003836
56,3.245086552,0.767734195
57,2.665577706,0.620356786
58,2.626640045,0.625840594
59,2.887280377,0.677485674
60,2.652563839,0.613616147
61,2.404943125,0.533829141
62,2.729211573,0.649038793
63,2.64788198,0.669623523
64,2.604675561,0.62426789
65,2.59209948,0.5559
66,2.643656485,0.588420188
67,2.477639957,0.565965683
68,2.878624281,0.683189916
69,2.857224923,0.732760638
70,2.837808043,0.687152
71,2.606149826,0.617655663
72,2.63546637,0.613040248
73,2.500598408,0.570416272
74,2.346674336,0.531264643
75,2.686204802,0.588704149
76,2.480366777,0.550808262
77,2.83861,0.636814706
78,2.181839731,0.454387664
79,2.368605714,0.51823366
80,2.876481481,0.639268116
81,3.066127726,0.743443038
82,2.700051198,0.66967988
83,2.403297872,0.545416199
84,2.175143713,0.50585852
85,2.552966667,0.596107355
86,2.621654596,0.624644413
87,2.633132773,0.591670769
88,2.722094737,0.594644481
89,2.670115773,0.60867717
90,2.546425758,0.58108882
91,2.537262171,0.560333667
92,2.832133438,0.588608654
93,2.799136826,0.627386667
94,2.771919706,0.651382583
95,2.683879635,0.636137152
96,2.535776968,0.587596456
97,2.507388506,0.584817151
98,2.490463158,0.58888012
99,2.53645615,0.595216429
100,2.581994837,0.562137493
101,2.458580739,0.543615467
102,2.849033028,0.602146625
103,2.807311343,0.665445075
104,2.502578797,0.564999006
105,2.350947139,0.550715155
106,2.814978674,0.591732105
107,2.383914697,0.528900237
108,2.646046301,0.62062344
109,2.515474795,0.545900343
110,2.617910725,0.556393959
111,2.520172948,0.55945463
112,2.321049825,0.520894803
113,2.925876404,0.720375097
114,2.818823741,0.664100364
115,2.693474247,0.628949315
116,2.549568454,0.550542984
117,2.680182769,0.569296203
118,2.700586316,0.578170968
119,2.352711667,0.533091481
120,2.429075987,0.539836174
121,2.71004486,0.60689722
122,2.728685675,0.615487746
123,2.686107082,0.578294294
124,2.409138462,0.507328889
125,2.383398058,0.564291288
126,2.247419355,0.489547383
127,2.414692424,0.536978598
128,2.514336585,0.542687464
129,2.501010512,0.53853528
130,2.843460623,0.651372017
131,2.665951064,0.604424645
132,2.772697113,0.601840509
133,2.712466482,0.594844929
134,2.396389773,0.540617362
135,2.389353846,0.525232036
136,2.306823204,0.520137229
137,2.151771739,0.490725497
138,2.016429231,0.472576162
139,2.188469468,0.484335484
140,2.259129459,0.512567769
141,2.518248711,0.578364599
142,2.349638617,0.493270381
143,2.361393714,0.518584235
144,2.520559593,0.561196429
145,2.444639073,0.547534007
146,2.244305648,0.505014237
147,2.094700308,0.496199367
148,1.850432787,0.432042568
149,2.163252941,0.522418327
150,2.150207278,0.520828532
151,2.208842816,0.511414783
152,2.23436747,0.542150459
153,2.132567976,0.505493651
154,2.232908286,0.529619072
155,2.191608832,0.48232737
156,2.031000885,0.472951702
157,2.360751374,0.518374209
158,2.158965528,0.467332236
159,2.032384356,0.460358634
160,1.865923765,0.404798438
161,2.158710423,0.506854817
162,2.100705648,0.478899656
163,2.024020067,0.431123469
164,1.914872635,0.41064055
165,2.12578179,0.487504777
166,2.286467442,0.508288724
167,1.961033244,0.403205946
168,1.728548294,0.370839973
169,1.690395679,0.351417912
170,2.029302813,0.427897097
171,1.742118006,0.379641083
172,1.947757911,0.416493604
173,2.226153846,0.512268634
174,2.064137725,0.451816149
175,1.956699405,0.397425382
176,1.825204505,0.383745594
177,2.067217483,0.469633789
178,2.274695,0.510002594
179,2.127876866,0.464430451
180,1.808220921,0.377482658
181,1.913669091,0.408433077
182,2.072173333,0.460111486
183,2.094452077,0.481694719
184,1.794773244,0.364837113
185,1.805594352,0.404348669
186,1.960690909,0.444031825
187,2.000368421,0.440351184
188,2.024982143,0.421820909
189,1.935083389,0.399575503
190,1.999517822,0.424913355
191,2.197892722,0.468583955
192,2.1488,0.480835638
193,1.85678693,0.378209404
194,1.819816088,0.395096438
195,1.939425617,0.420117185
196,1.770404408,0.391523159
197,2.020920485,0.42172813
198,1.859875219,0.369011146
199,1.740219595,0.361993401
200,1.831049387,0.380363608
201,1.847440274,0.374110562
202,1.990427543,0.405471908
203,2.01156398,0.438259868
204,2.113987863,0.44015612
205,1.95798503,0.412759547
206,1.8057263,0.368347352
207,1.752163095,0.349833956
208,2.016645506,0.436728571
209,1.98610092,0.445919031
210,1.755176435,0.367340187
211,1.630044643,0.305985644
212,1.737420604,0.325258617
213,2.022296396,0.407768344
214,1.847289231,0.37949081
