warming,soil.type,plot,timepoint,doy,date,lipidp.dry,lipidp.wet
C,Mineral,10,T1,118,2014-04-28,40.85852432,24.51511459
H,Mineral,16,T1,118,2014-04-28,60.4409177,49.56155251
H,Mineral,1,T1,118,2014-04-28,112.3535633,93.25345755
C,Mineral,13,T1,118,2014-04-28,133.1392477,89.20329596
C,Mineral,5,T1,118,2014-04-28,140.232199,84.13931939
C,Mineral,3,T1,118,2014-04-28,169.262826,123.561863
H,Mineral,12,T1,118,2014-04-28,255.1393049,193.9058717
H,Mineral,15,T1,118,2014-04-28,262.6938301,204.9011875
C,Mineral,9,T1,118,2014-04-28,286.2275514,200.359286
H,Mineral,8,T1,118,2014-04-28,298.8830142,194.2739592
C,Mineral,17,T1,118,2014-04-28,317.4937953,234.9454085
H,Mineral,6,T1,118,2014-04-28,380.1261916,292.6971675
C,Organic,9,T1,118,2014-04-28,NA,329.3983052
C,Organic,9,T1,118,2014-04-28,NA,342.3266015
H,Organic,1,T1,118,2014-04-28,NA,346.0441457
H,Organic,12,T1,118,2014-04-28,NA,519.8995131
H,Organic,6,T1,118,2014-04-28,NA,523.9317228
H,Organic,16,T1,118,2014-04-28,NA,526.341918
C,Organic,5,T1,118,2014-04-28,NA,600.2716983
C,Organic,3,T1,118,2014-04-28,NA,640.9116729
C,Organic,13,T1,118,2014-04-28,NA,654.2469961
H,Organic,8,T1,118,2014-04-28,NA,706.0860381
H,Organic,15,T1,118,2014-04-28,NA,874.7307232
C,Organic,17,T1,118,2014-04-28,NA,886.428974
H,Mineral,1,T2,154,2014-06-03,69.48024897,51.42026175
H,Mineral,8,T2,154,2014-06-03,83.03785027,50.7801947
C,Mineral,10,T2,154,2014-06-03,136.0082272,63.88495481
H,Mineral,6,T2,154,2014-06-03,237.4218177,172.6520062
C,Mineral,3,T2,154,2014-06-03,237.5659177,164.9162883
H,Mineral,16,T2,154,2014-06-03,239.6066748,96.53163495
C,Mineral,17,T2,154,2014-06-03,243.8931228,154.5569987
C,Mineral,5,T2,154,2014-06-03,279.2638838,136.6020684
C,Mineral,9,T2,154,2014-06-03,282.8764053,193.110981
C,Mineral,13,T2,154,2014-06-03,317.4217149,187.223136
H,Mineral,12,T2,154,2014-06-03,359.8291853,126.0806562
H,Mineral,15,T2,154,2014-06-03,362.250133,171.3471747
C,Organic,17,T2,154,2014-06-03,452.3389717,229.4592115
H,Organic,1,T2,154,2014-06-03,512.6706857,328.0974475
H,Organic,12,T2,154,2014-06-03,1071.943833,559.3142436
C,Organic,9,T2,154,2014-06-03,1147.870987,533.927598
H,Organic,16,T2,154,2014-06-03,1186.998155,589.1973961
C,Organic,10,T2,154,2014-06-03,1348.212374,341.1728262
H,Organic,15,T2,154,2014-06-03,1590.011975,640.4040353
C,Organic,13,T2,154,2014-06-03,1748.635764,612.0225174
H,Organic,8,T2,154,2014-06-03,1964.920816,821.8188961
C,Organic,3,T2,154,2014-06-03,2555.27186,879.640328
