sample.id,treatment,d13c,c.ug,d15n,n.ug,material,analysis,enriched,amount,lab.id,analysis.num
117a,dc,-27.4040637,1477.262429,4.451285573,73.65383077,mineral soil (0-3cm),13C; 15N,No,22.227,971188,202752
109a,dc,-27.84618751,1924.657351,2.326541127,89.15326294,mineral soil (0-3cm),13C; 15N,No,18.555,971189,202753
114a,dc,-27.37248322,1423.80754,4.350628164,63.96907626,mineral soil (0-3cm),13C; 15N,No,18.756,971190,202754
122a,dc,-27.87973996,1708.027312,3.945505966,78.94539542,mineral soil (0-3cm),13C; 15N,No,17.213,971195,202759
118a,dc,-27.29090385,1549.058529,4.764436955,70.9526992,mineral soil (0-3cm),13C; 15N,No,25.462,971196,202760
103a,dc,-27.17055258,1101.262054,4.530110563,50.65166641,mineral soil (0-3cm),13C; 15N,No,20.686,971199,202763
119a,h,-28.5828293,1697.59995,1.418608257,68.13935294,mineral soil (0-3cm),13C; 15N,No,16.874,971191,202755
104a,h,-28.15077554,1705.609935,2.033245107,78.99269323,mineral soil (0-3cm),13C; 15N,No,19.348,971192,202756
124a,h,-27.35501307,1365.39096,4.100842137,69.62236309,mineral soil (0-3cm),13C; 15N,No,20.844,971193,202757
116a,h,-27.18093437,1558.591073,4.500926043,76.81023539,mineral soil (0-3cm),13C; 15N,No,25.805,971194,202758
115a,h,-27.6487548,1464.044675,3.806282022,73.37130436,mineral soil (0-3cm),13C; 15N,No,21.53,971197,202761
101a,h,-27.82742934,2004.589475,3.012462379,86.11761999,mineral soil (0-3cm),13C; 15N,No,24.53,971198,202762
