sample.id,depth,warming.treatment,plot,soil.wt,lg.wt,micro.wt,fpom.wt,opom.wt,mom.wt,siltclay.wt,cpom.wt,fpomopom,opommom
109B,>3,C,10,1.999,0.626,1.034,0.148,0.0777,0.7434,0.247,0.041,1.904761905,0.104519774
118A,0-3,C,9,2.006,0.795,0.852,0.137,0.0707,0.6955,0.123,0.264,1.937765205,0.101653487
124B,>3,H,16,2.003,0.535,0.553,0.073,0.0622,0.7736,0.266,0.089,1.173633441,0.080403309
104B,>3,H,6,2.005,0.555,1.019,0.08,0.0492,0.8252,0.212,0.036,1.62601626,0.05962191
103A,0-3,C,13,2.002,0.463,0.448,0.058,0.0449,0.688,0.195,0.083,1.291759465,0.065261628
115B,>3,H,15,2.002,0.643,0.877,0.034,0.0498,0.8181,0.17,0.094,0.682730924,0.060872754
124A,0-3,H,16,0.513,0.171,0.004,0.053,0.0275,0.1721,0.081,0.03,1.927272727,0.159790819
118B,>3,C,9,2.002,0.605,1.004,0.11,0.057,0.9031,0.208,0.049,1.929824561,0.063115934
115A,0-3,H,15,1.987,0.733,0.848,0.099,0.0748,0.7491,0.225,0.084,1.323529412,0.099853157
109A,0-3,C,10,2.009,0.717,0.872,0.336,0.0683,0.4368,0.166,0.367,4.919472914,0.156364469
122B,>3,C,5,2.01,0.685,0.762,0.116,0.0626,0.8017,0.233,0.057,1.853035144,0.078084071
117B,>3,C,17,2.012,0.542,0.948,0.041,0.1352,0.882,0.253,0.036,0.303254438,0.153287982
101B,>3,H,1,1.61,0.479,0.563,0.077,0.0604,0.6519,0.253,0.036,1.274834437,0.092652247
119B,>3,H,12,2.002,0.76,0.906,0.029,0.0523,0.8516,0.189,0.032,0.554493308,0.061413809
114A,0-3,C,3,1.996,0.46,0.984,0.181,0.0492,0.9618,0.194,0.146,3.678861789,0.051154086
116A,0-3,H,8,1.37,0.488,0.525,0.066,0.039,0.4491,0.098,0.119,1.692307692,0.086840347
119A,0-3,H,12,1.996,0.74,0.815,0.157,0.0424,0.6429,0.202,0.246,3.702830189,0.065951159
114B,>3,C,3,2.004,0.659,1.004,0.043,0.0627,0.7197,0.178,0.027,0.685805423,0.087119633
116B,>3,H,8,2.025,0.659,0.797,0.07,0.0754,0.4461,0.224,0.064,0.928381963,0.169020399
122A,0-3,C,5,1.516,0.515,0.64,0.198,0.0318,0.4571,0.136,0.145,6.226415094,0.069569022
101A,0-3,H,1,0.78,0.293,0.317,0.096,0.0416,0.1789,0.035,0.121,2.307692308,0.232532141
104A,0-3,H,6,1.462,0.641,0.553,0.213,0.0419,0.3236,0.119,0.292,5.08353222,0.129480841
103B,>3,C,13,2.014,0.802,1.029,0.017,0.0439,0.9609,0.252,0.047,0.387243736,0.045686336
117A,0-3,C,17,2.008,0.577,0.944,0.072,0.0541,0.8284,0.239,0.085,1.330868762,0.065306615
