timepoint,sample.id,enzyme,warming,plot,soil,eea,water.content,doy,date
T2,TES026,BX,H,1,Mineral,99.62068121,25.99,154,2014-06-03
T2,TES026,CBH,H,1,Mineral,39.787752,25.99,154,2014-06-03
T2,TES026,HPO,H,1,Mineral,0.333620259,25.99,154,2014-06-03
T2,TES026,NAG,H,1,Mineral,30.97041846,25.99,154,2014-06-03
T2,TES026,BG,H,1,Mineral,160.1792042,25.99,154,2014-06-03
T2,TES026,PO,H,1,Mineral,0.120269228,25.99,154,2014-06-03
T2,TES025,BX,H,1,Organic,354.0778449,36,154,2014-06-03
T2,TES025,CBH,H,1,Organic,139.9873158,36,154,2014-06-03
T2,TES025,HPO,H,1,Organic,1.458797619,36,154,2014-06-03
T2,TES025,NAG,H,1,Organic,95.91472251,36,154,2014-06-03
T2,TES025,BG,H,1,Organic,325.8236216,36,154,2014-06-03
T2,TES025,PO,H,1,Organic,0.85859219,36,154,2014-06-03
T3,TES050,BX,H,1,Mineral,77.51119062,38.89,181,2014-06-30
T3,TES050,CBH,H,1,Mineral,26.31068388,38.89,181,2014-06-30
T3,TES050,HPO,H,1,Mineral,0.876030668,38.89,181,2014-06-30
T3,TES050,NAG,H,1,Mineral,18.97140806,38.89,181,2014-06-30
T3,TES050,PHOS,H,1,Mineral,336.5308353,38.89,181,2014-06-30
T3,TES050,PO,H,1,Mineral,0.153923398,38.89,181,2014-06-30
T3,TES050,BG,H,1,Mineral,172.2399319,38.89,181,2014-06-30
T3,TES049,BX,H,1,Organic,192.8047827,54.45,181,2014-06-30
T3,TES049,CBH,H,1,Organic,93.16678137,54.45,181,2014-06-30
T3,TES049,HPO,H,1,Organic,4.269629534,54.45,181,2014-06-30
T3,TES049,NAG,H,1,Organic,70.4215718,54.45,181,2014-06-30
T3,TES049,PHOS,H,1,Organic,636.6412239,54.45,181,2014-06-30
T3,TES049,PO,H,1,Organic,0.090425511,54.45,181,2014-06-30
T3,TES049,BG,H,1,Organic,383.4762643,54.45,181,2014-06-30
T4,TES074,BX,H,1,Mineral,101.3646427,21.74,237,2014-08-25
T4,TES074,CBH,H,1,Mineral,51.4474009,21.74,237,2014-08-25
T4,TES074,HPO,H,1,Mineral,2.673797208,21.74,237,2014-08-25
T4,TES074,NAG,H,1,Mineral,14.87744885,21.74,237,2014-08-25
T4,TES074,PHOS,H,1,Mineral,342.0654625,21.74,237,2014-08-25
T4,TES074,PO,H,1,Mineral,0.029419043,21.74,237,2014-08-25
T4,TES074,BG,H,1,Mineral,143.0034371,21.74,237,2014-08-25
T4,TES073,BX,H,1,Organic,121.4953356,32.947,237,2014-08-25
T4,TES073,CBH,H,1,Organic,167.4518965,32.947,237,2014-08-25
T4,TES073,HPO,H,1,Organic,2.230204827,32.947,237,2014-08-25
T4,TES073,NAG,H,1,Organic,289.9023208,32.947,237,2014-08-25
T4,TES073,PHOS,H,1,Organic,1243.015839,32.947,237,2014-08-25
T4,TES073,PO,H,1,Organic,0.049333285,32.947,237,2014-08-25
T4,TES073,BG,H,1,Organic,354.444974,32.947,237,2014-08-25
T5,TES098,BX,H,1,Mineral,28.81050139,17.6,265,2014-09-22
T5,TES098,CBH,H,1,Mineral,16.94379876,17.6,265,2014-09-22
T5,TES098,HPO,H,1,Mineral,0.385913114,17.6,265,2014-09-22
T5,TES098,NAG,H,1,Mineral,15.62230254,17.6,265,2014-09-22
T5,TES098,PHOS,H,1,Mineral,124.6242614,17.6,265,2014-09-22
T5,TES098,PO,H,1,Mineral,-0.011578879,17.6,265,2014-09-22
T5,TES098,BG,H,1,Mineral,59.49850284,17.6,265,2014-09-22
T5,TES097,BX,H,1,Organic,160.6561412,43.68288782,265,2014-09-22
T5,TES097,CBH,H,1,Organic,77.19390599,43.68288782,265,2014-09-22
T5,TES097,HPO,H,1,Organic,2.772428295,43.68288782,265,2014-09-22
T5,TES097,NAG,H,1,Organic,67.50908714,43.68288782,265,2014-09-22
T5,TES097,PHOS,H,1,Organic,603.3119386,43.68288782,265,2014-09-22
T5,TES097,PO,H,1,Organic,0.032355672,43.68288782,265,2014-09-22
T5,TES097,BG,H,1,Organic,283.6590714,43.68288782,265,2014-09-22
T6,TES122,CBH,H,1,Mineral,27.61280603,36.83638622,300,2014-10-27
T6,TES122,BX,H,1,Mineral,65.34982242,36.83638622,300,2014-10-27
T6,TES122,NAG,H,1,Mineral,27.47144631,36.83638622,300,2014-10-27
T6,TES122,PHOS,H,1,Mineral,219.859241,36.83638622,300,2014-10-27
T6,TES122,HPO,H,1,Mineral,1.344736681,36.83638622,300,2014-10-27
T6,TES122,PO,H,1,Mineral,0.112156563,36.83638622,300,2014-10-27
T6,TES122,BG,H,1,Mineral,117.1894016,36.83638622,300,2014-10-27
T6,TES121,CBH,H,1,Organic,100.8224801,41.12988894,300,2014-10-27
T6,TES121,BX,H,1,Organic,119.4386269,41.12988894,300,2014-10-27
T6,TES121,NAG,H,1,Organic,228.8440932,41.12988894,300,2014-10-27
T6,TES121,PHOS,H,1,Organic,468.0274424,41.12988894,300,2014-10-27
T6,TES121,HPO,H,1,Organic,2.212261138,41.12988894,300,2014-10-27
T6,TES121,PO,H,1,Organic,0.153047639,41.12988894,300,2014-10-27
T6,TES121,BG,H,1,Organic,281.7685819,41.12988894,300,2014-10-27
T2,TES028,BG,DC,3,Mineral,67.40001657,30.58,154,2014-06-03
T2,TES028,BX,DC,3,Mineral,28.18503478,30.58,154,2014-06-03
T2,TES028,CBH,DC,3,Mineral,10.44649349,30.58,154,2014-06-03
T2,TES028,HPO,DC,3,Mineral,0.274619106,30.58,154,2014-06-03
T2,TES028,NAG,DC,3,Mineral,10.59839836,30.58,154,2014-06-03
T2,TES028,PO,DC,3,Mineral,0.068479938,30.58,154,2014-06-03
T2,TES027,BX,DC,3,Organic,463.9782967,65.57,154,2014-06-03
T2,TES027,CBH,DC,3,Organic,336.1404949,65.57,154,2014-06-03
T2,TES027,HPO,DC,3,Organic,0.263114365,65.57,154,2014-06-03
T2,TES027,NAG,DC,3,Organic,474.2906588,65.57,154,2014-06-03
T2,TES027,BG,DC,3,Organic,778.7028328,65.57,154,2014-06-03
T2,TES027,PO,DC,3,Organic,0.159489709,65.57,154,2014-06-03
T3,TES052,BG,DC,3,Mineral,234.4734493,41.02,181,2014-06-30
