sample.id,treatment,soil,plot,loi.tin,loi.soil,loi.550c.4hrs,per.loi,timepoint
TES050,H,M,1,1.0027,4.2509,3.916,10.31032572,T3
TES049,H,O,1,0.988,2.1787,1.8937,23.93550013,T3
TES051,DC,O,3,1.0022,1.5496,1.2012,63.6463281,T3
TES052,DC,M,3,1.0013,3.3452,3.1375,8.861299543,T3
TES052,DC,M,3,0.9873,4.9535,4.5884,9.205284655,T3
TES056,DC,M,5,1.0023,3.308,2.9888,13.84395195,T3
TES055,DC,O,5,1.0033,1.487,1.0526,89.80773207,T3
TES054,H,M,6,1.00089,3.3059,3.0689,10.28195105,T3
TES053,H,O,6,1.003,2.1461,1.7915,31.02090806,T3
TES057,H,O,8,1.004,2.0713,1.7071,34.12348918,T3
TES058,H,M,8,0.9913,3.1369,2.84,13.83762118,T3
TES060,DC,M,9,1.002,3.4275,3.1332,12.13358071,T3
TES059,DC,O,9,1.0065,1.3227,1.1432,56.76786844,T3
TES063,DC,O,10,0.9961,1.8828,1.5326,39.49475584,T3
TES062,H,M,12,0.991,1.8747,1.7576,13.25110332,T3
TES061,H,O,12,1.0096,1.3069,1.1958,37.36966028,T3
TES068,DC,M,13,0.9875,1.8435,1.7379,12.3364486,T3
TES067,DC,O,13,1.0019,1.5334,1.0789,85.51269991,T3
TES066,H,M,15,1,1.8215,1.744,9.433962264,T3
TES065,H,O,15,0.9866,2.0123,1.5139,48.59120601,T3
TES070,DC,O,16,0.9869,1.4565,1.34,24.80834753,T3
TES069,H,M,16,1.0147,3.8108,3.4668,12.3028504,T3
TES072,DC,M,17,0.9894,1.7795,1.6944,10.77078851,T3
TES071,DC,O,17,0.9954,1.366,1.2066,43.01133297,T3
TES074,H,O,1,NA,NA,NA,NA,T4
TES073,H,M,1,1.0008,4.3196,3.8685,13.59226226,T4
TES075,DC,O,3,0.9852,1.082,0.9995,85.22727273,T4
TES076,DC,M,3,1.0167,1.9447,1.7861,17.09051724,T4
TES080,DC,M,5,0.9993,2.0119,1.7754,23.35571795,T4
TES079,DC,O,5,0.9882,1.0956,1.0071,82.40223464,T4
TES078,H,M,6,0.9935,2.898,2.7218,9.251772119,T4
TES077,H,O,6,0.9924,1.4506,1.2966,33.60977739,T4
TES081,H,O,8,0.9897,1.4896,1.3447,28.98579716,T4
TES082,H,M,8,0.9917,2.2273,2.0854,11.48429913,T4
TES084,DC,O,9,1.0129,1.314,1.0482,88.27632016,T4
TES083,DC,M,9,0.9942,1.7844,1.6882,12.17413313,T4
TES088,H,M,10,1.0039,2.4456,2.2378,14.41353957,T4
TES087,DC,O,10,1.009,1.5375,1.3626,33.09366131,T4
TES086,H,M,12,0.9931,4.0468,3.7589,9.427907129,T4
TES085,DC,O,12,0.9933,1.489,1.2987,38.39015534,T4
TES092,DC,O,13,0.9906,1.0893,1.0075,82.87740628,T4
TES091,DC,M,13,0.9894,2.549,2.306,15.58091818,T4
TES090,H,O,15,0.9845,1.3241,1.1789,42.75618375,T4
TES089,DC,M,15,0.991,3.5963,3.1925,15.49917476,T4
TES094,H,O,16,0.9756,2.0383,1.6476,36.76484426,T4
TES093,H,M,16,0.9845,4.1781,3.9065,8.504509018,T4
TES096,DC,M,17,1.005,3.2633,2.9581,13.51459062,T4
TES095,H,O,17,1.007,1.7329,1.2058,72.61330762,T4
TES97,H,O,1,0.991,1.475,1.2848,39.29752066,T5
TES98,H,M,1,1.006,4.029,3.6808,11.51835925,T5
TES100,DC,M,3,1.009,3.74,3.4392,11.01428048,T5
TES99,DC,O,3,0.995,2.003,1.4225,57.58928571,T5
TES103,DC,O,5,1.009,1.899,1.1182,87.73033708,T5
TES104,DC,M,5,1,2.659,2.2745,23.17661242,T5
TES101,H,O,6,0.987,1.416,1.2102,47.97202797,T5
TES102,H,M,6,1.013,4.064,3.7071,11.697804,T5
TES105,H,O,8,1.005,1.683,1.4183,39.04129794,T5
TES106,H,M,8,1.002,2.435,2.2272,14.50104676,T5
TES107,DC,O,9,0.99,1.79,1.4713,39.8375,T5
TES111,DC,O,10,0.985,1.924,1.3465,61.50159744,T5
TES112,DC,M,10,1,3.412,2.9806,17.88557214,T5
TES109,H,O,12,1.002,2.626,1.5398,66.88423645,T5
TES110,H,M,12,0.995,2.304,2.1753,9.831932773,T5
TES115,DC,O,13,0.986,1.961,1.3434,63.34358974,T5
TES116,DC,M,13,0.987,5.175,4.6571,12.36628462,T5
TES113,H,O,15,0.991,1.718,1.4548,36.20357634,T5
TES114,H,M,15,1.001,4.249,3.9718,8.534482759,T5
TES117,H,O,16,1.001,1.913,1.63,31.03070175,T5
TES118,H,M,16,0.997,4.326,3.9406,11.57705017,T5
TES119,DC,O,17,1.003,1.706,1.2755,61.23755334,T5
TES120,DC,M,17,1.001,3.228,2.8572,16.65020207,T5
TES146,H,M,1,0.9835,2.14,1.9841,13.48032858,T7
TES151,DC,O,5,1.0118,1.5808,1.1546,74.90333919,T7
TES164,DC,M,13,0.9901,1.8671,1.7593,12.29190422,T7
TES150,H,M,6,0.99946,2.3032,2.0754,17.472809,T7
TES162,H,O,15,0.9985,1.5555,1.277,50,T7
TES163,DC,O,13,0.9929,1.8475,1.4166,50.42124971,T7
TES157,H,O,12,0.9902,1.6745,1.3444,48.23907643,T7
TES167,DC,O,17,0.9889,2.5971,1.875,44.9011317,T7
TES160,DC,M,10,0.9887,2.1191,1.8945,19.86907289,T7
TES145,H,O,1,0.9928,1.2314,1.1127,49.74853311,T7
TES153,H,O,8,0.9846,1.3007,1.1892,35.27364758,T7
TES165,H,O,16,0.9759,NA,NA,47.06542508,T7
TES147,DC,O,3,1.0147,1.6017,1.194,69.4548552,T7
TES148,DC,M,3,1.0041,1.9437,1.8176,13.42060451,T7
TES161,H,M,15,0.9924,2.4028,2.2674,9.600113443,T7
TES154,H,M,8,1.0068,1.9795,1.8458,13.74524519,T7
TES168,DC,M,17,0.9902,1.8864,1.786,11.20285651,T7
TES156,DC,M,9,1.0032,1.9367,1.8025,14.37600428,T7
TES158,H,M,12,1.0002,2.0752,1.9295,13.55348837,T7
TES159,DC,O,10,1.008,1.521,1.1768,67.09551657,T7
TES149,H,O,6,0.9875,1.3215,1.1476,52.06586826,T7
TES152,DC,M,5,0.991,2.1569,1.964,16.54515825,T7
TES155,DC,O,9,0.9838,1.8152,1.4484,44.11835458,T7
TES166,H,M,16,0.9921,2.7111,2.5757,7.876672484,T7
TES027,DC,O,3,0.9831,1.3893,1.0999,71.24569178,T2
TES026,H,M,1,1.0053,2.0383,1.9047,12.93320426,T2
TES028,DC,M,3,0.9931,2.0496,1.9553,8.92569806,T2
TES025,H,O,1,0.9973,1.6263,1.4482,28.31478537,T2
TES032,DC,M,5,0.9838,1.7409,1.623,15.57257958,T2
TES030,H,M,6,1.012,1.8922,1.7555,15.53056124,T2
TES036,DC,M,9,1.0013,1.7458,1.6445,13.60644728,T2
TES031,DC,O,5,0.9961,1.6811,1.2613,61.28467153,T2
TES045,H,O,16,0.9985,1.511,1.4088,19.94146341,T2
TES046,H,M,16,0.99,2.1639,2.0466,9.992333248,T2
TES029,H,O,6,0.9908,1.714,1.452,36.22787611,T2
TES033,H,O,8,0.993,1.4383,1.1426,66.40467101,T2
TES034,H,M,8,1.0016,2.0264,1.8668,15.57377049,T2
TES044,DC,M,13,0.9943,2.0448,1.9431,9.681104236,T2
TES038,H,M,12,0.9878,1.8247,1.7324,11.02879675,T2
TES043,DC,O,13,1.0065,1.4248,1.1758,59.52665551,T2
TES048,DC,M,17,0.9975,1.8774,1.766,12.66052961,T2
