#Datasets,4_TES_45_Merged_CAZY,5_TES_129_Merged_CAZY,7_TES_27_Merged_CAZY,17_TES_144_Merged_CAZY,23_TES_136_Merged_CAZY,32_TES_43_Merged_CAZY,37_TES_034_Merged_CAZY,42_TES_027_merged_CAZY,44_TES_140_Merged_CAZY,49_TES_40_Merged_CAZY,55_TES_134_Merged_CAZY,58_TES_130_merged_CAZY,59_TES_139_Merged_CAZY,66_TES_026_Merged_CAZY,70_TES_135_Merged_CAZY,73_TES_031_Merged_CAZY,79_TES_35_Merged_CAZY,85_TES_029_Merged_CAZY,86_TES_44_Merged_CAZY,87_TES_128_Merged_CAZY,90_TES_138_Merged_CAZY,104_TES_131_Merged_CAZY,110_TES_036_Merged_CAZY,113_TES_122_merged_CAZY,117_TES_141_Merged_CAZY,119_TES_042_Merged_CAZY,122_TES_121_merged_CAZY,123_TES_033_Merged_CAZY,130_TES_133_Merged_CAZY,137_TES_038_Merged_CAZY,143_TES_025_Merged_CAZY
"Acidobacteria bacterium Mor1",48.0,68.0,70.0,47.0,52.0,229.0,147.0,45.0,130.0,86.0,46.0,4.0,14.0,39.0,58.0,37.0,26.0,36.0,60.0,33.0,27.0,34.0,55.0,159.0,53.0,3.0,24.0,56.0,37.0,115.0,58.0
"Acidobacterium capsulatum",248.0,235.0,623.0,240.0,142.0,1024.0,218.0,199.0,125.0,110.0,151.0,94.0,78.0,38.0,358.0,153.0,295.0,173.0,63.0,108.0,79.0,160.0,66.0,213.0,197.0,20.0,135.0,171.0,159.0,126.0,117.0
"Candidatus Koribacter versatilis",262.0,374.0,621.0,277.0,264.0,1951.0,648.0,293.0,252.0,498.0,226.0,74.0,103.0,118.0,329.0,282.0,341.0,213.0,185.0,270.0,122.0,282.0,120.0,681.0,219.0,14.0,122.0,306.0,154.0,568.0,495.0
"Granulicella mallensis",459.0,544.0,1117.0,468.0,318.0,1839.0,471.0,489.0,262.0,269.0,305.0,131.0,191.0,113.0,631.0,373.0,417.0,252.0,165.0,240.0,173.0,447.0,141.0,439.0,372.0,35.0,228.0,304.0,239.0,374.0,311.0
"Granulicella tundricola",239.0,240.0,511.0,307.0,168.0,989.0,290.0,261.0,151.0,179.0,159.0,74.0,84.0,64.0,323.0,141.0,285.0,159.0,116.0,121.0,94.0,243.0,108.0,248.0,193.0,16.0,121.0,173.0,166.0,219.0,210.0
"Terriglobus roseus",44.0,73.0,156.0,79.0,47.0,287.0,72.0,96.0,40.0,42.0,34.0,24.0,23.0,15.0,74.0,24.0,59.0,35.0,32.0,37.0,28.0,72.0,21.0,77.0,40.0,7.0,20.0,41.0,33.0,57.0,66.0
"Terriglobus saanensis",116.0,141.0,263.0,131.0,83.0,712.0,188.0,144.0,94.0,106.0,83.0,32.0,47.0,45.0,165.0,85.0,134.0,87.0,72.0,78.0,63.0,143.0,83.0,182.0,98.0,11.0,92.0,133.0,83.0,134.0,112.0
"Candidatus Solibacter usitatus",1077.0,1576.0,2022.0,956.0,1035.0,3945.0,2408.0,965.0,1437.0,1351.0,1191.0,247.0,237.0,550.0,1410.0,700.0,1072.0,831.0,910.0,924.0,598.0,994.0,828.0,2048.0,1193.0,57.0,439.0,1213.0,685.0,2369.0,1254.0
"Chloracidobacterium thermophilum",9.0,16.0,10.0,0.0,12.0,50.0,20.0,0.0,14.0,16.0,9.0,0.0,3.0,7.0,5.0,8.0,9.0,3.0,6.0,10.0,7.0,0.0,10.0,27.0,9.0,1.0,3.0,12.0,10.0,18.0,13.0
"uncultured Acidobacteria bacterium",30.0,35.0,63.0,26.0,24.0,182.0,55.0,34.0,42.0,37.0,32.0,7.0,6.0,9.0,38.0,25.0,29.0,27.0,22.0,36.0,14.0,28.0,34.0,68.0,38.0,3.0,18.0,27.0,27.0,47.0,47.0
"uncultured Acidobacteria bacterium cosmid p2H8",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Thermosulfidibacter takaii",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Persephonella marina",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"candidate division Kazan bacterium GW2011_GWA1_50_15",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Candidatus Methylomirabilis oxyfera",3.0,7.0,12.0,10.0,7.0,31.0,26.0,0.0,20.0,11.0,13.0,1.0,1.0,5.0,0.0,6.0,8.0,4.0,11.0,5.0,0.0,0.0,5.0,16.0,4.0,1.0,0.0,6.0,4.0,9.0,11.0
"Berkelbacteria bacterium GW2011_GWE1_39_12",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
"candidate division TM6 bacterium GW2011_GWF2_28_16",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0
"Candidatus Peribacter riflensis",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Candidatus Saccharibacteria bacterium GW2011_GWC2_44_17",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
"Candidatus Saccharibacteria bacterium RAAC3_TM7_1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
"Candidatus Beckwithbacteria bacterium GW2011_GWC1_49_16",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
