#Datasets, 4_TES_45_mRNA, 5_TES_129_mRNA, 7_TES_027_mRNA, 17_TES_144_mRNA, 23_TES_136_mRNA, 32_TES_43_mRNA, 37_TES_034_mRNA, 42_TES_027_mRNA, 44_TES_140_mRNA, 49_TES_40_mRNA, 55_TES_134_mRNA, 58_TES_130_merged_mRNA, 59_TES_139_mRNA, 66_TES_026_mRNA, 70_TES_135_mRNA, 73_TES_031_mRNA, 79_TES_35_mRNA, 85_TES_029_mRNA, 86_TES_44_mRNA, 87_TES_128_mRNA, 90_TES_138_mRNA, 104_TES_131_mRNA, 110_TES_036_mRNA, 113_TES_122_mRNA, 117_TES_141_mRNA, 119_TES_042_mRNA, 122_TES_121_mRNA, 123_TES_033_mRNA, 130_TES_133_mRNA, 137_TES_038_mRNA, 143_TES_025_mRNA
"K1000010 Glycolysis / Gluconeogenesis", 5688, 12074, 15787, 11924, 10314, 0, 17623, 14605, 16619, 11347, 9109, 3075, 3079, 8597, 10442, 8869, 8522, 9249, 21227, 9518, 18384, 28616, 20320, 15585, 10240, 1148, 5523, 11470, 14125, 15222, 13384
"K1000020 Citrate cycle (TCA cycle)", 4603, 10176, 14211, 10502, 7317, 0, 14685, 11897, 14527, 9079, 7342, 2653, 2637, 6985, 8726, 8016, 7235, 7965, 18624, 7810, 18093, 26693, 17062, 13062, 9581, 986, 4559, 10326, 11843, 13456, 10230
"K1000030 Pentose phosphate pathway", 4339, 9609, 13193, 8788, 7197, 0, 13059, 9751, 11530, 8393, 7067, 2294, 2360, 5648, 9215, 6361, 6809, 6379, 13628, 6494, 11492, 17653, 13362, 11355, 7714, 800, 3919, 8088, 9630, 10832, 9938
"K1000040 Pentose and glucuronate interconversions", 820, 2007, 3131, 1997, 1264, 0, 2610, 3046, 2549, 1596, 1280, 541, 520, 1052, 1762, 1740, 1383, 1660, 4375, 1366, 4017, 8854, 2590, 2623, 2042, 212, 869, 2023, 1955, 2346, 1644
"K1000051 Fructose and mannose metabolism", 1349, 2900, 4485, 3115, 2005, 0, 4112, 3544, 3803, 2437, 1921, 798, 758, 1790, 2620, 2460, 2026, 2277, 5444, 2132, 5103, 9343, 4381, 3668, 2838, 295, 1347, 2797, 3259, 3568, 2723
"K1000052 Galactose metabolism", 1214, 2608, 3966, 2779, 1767, 0, 3537, 3084, 3447, 2377, 1684, 696, 770, 1408, 2420, 2187, 1778, 1940, 4690, 1747, 3994, 9025, 3319, 3572, 2375, 224, 1161, 2393, 2514, 3105, 2546
"K1000053 Ascorbate and aldarate metabolism", 1078, 2170, 2940, 2085, 1691, 0, 3260, 2992, 2761, 2205, 1675, 479, 569, 1414, 1971, 1598, 1564, 1362, 3315, 1495, 2228, 3489, 3211, 2871, 1534, 250, 991, 2008, 2252, 2957, 2551
"K1000500 Starch and sucrose metabolism", 3221, 7173, 11955, 7302, 4671, 0, 8669, 9315, 8525, 5422, 4083, 1844, 1764, 3389, 6395, 5403, 5195, 4661, 10722, 4561, 9914, 22890, 8360, 8275, 5890, 671, 2946, 6019, 6587, 7302, 6341
"K1000520 Amino sugar and nucleotide sugar metabolism", 3713, 7493, 12100, 7493, 4941, 0, 10273, 9684, 9822, 6447, 4886, 1944, 1953, 4025, 7172, 6121, 5379, 5244, 11940, 5219, 10287, 20639, 9866, 9506, 6515, 760, 3304, 6556, 7498, 9360, 7225
"K1000620 Pyruvate metabolism", 5085, 11034, 14870, 11141, 9022, 0, 15051, 13192, 17670, 9479, 7943, 2967, 2948, 7923, 9710, 8742, 7919, 8416, 20555, 9016, 18672, 28347, 20239, 15822, 10000, 1028, 5254, 10808, 13817, 14240, 11652
