#Datasets,4_TES_45_mRNA,5_TES_129_mRNA,7_TES_027_mRNA,17_TES_144_mRNA,23_TES_136_mRNA,32_TES_43_mRNA,37_TES_034_mRNA,42_TES_027_mRNA,44_TES_140_mRNA,49_TES_40_mRNA,55_TES_134_mRNA,58_TES_130_merged_mRNA,59_TES_139_mRNA,66_TES_026_mRNA,70_TES_135_mRNA,73_TES_031_mRNA,79_TES_35_mRNA,85_TES_029_mRNA,86_TES_44_mRNA,87_TES_128_mRNA,90_TES_138_mRNA,104_TES_131_mRNA,110_TES_036_mRNA,113_TES_122_mRNA,117_TES_141_mRNA,119_TES_042_mRNA,122_TES_121_mRNA,123_TES_033_mRNA,130_TES_133_mRNA,137_TES_038_mRNA,143_TES_025_mRNA
"Acidobacteria bacterium Mor1",54.0,0.0,0.0,0.0,0.0,0.0,216.0,0.0,293.0,139.0,92.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0
"Acidobacterium ailaaui",1000.0,1512.0,4026.0,1674.0,1229.0,0.0,2148.0,1451.0,647.0,1284.0,916.0,481.0,485.0,343.0,1695.0,1150.0,1669.0,1099.0,509.0,1014.0,432.0,1350.0,621.0,1491.0,1047.0,100.0,796.0,1445.0,1010.0,1609.0,1309.0
"Acidobacterium capsulatum",448.0,764.0,1324.0,607.0,356.0,0.0,909.0,579.0,332.0,486.0,467.0,298.0,179.0,135.0,984.0,523.0,951.0,549.0,224.0,357.0,225.0,520.0,216.0,537.0,533.0,50.0,362.0,459.0,534.0,481.0,515.0
"Bryocella elongata",0.0,0.0,1764.0,1037.0,564.0,0.0,0.0,1156.0,0.0,0.0,0.0,0.0,304.0,0.0,0.0,0.0,0.0,553.0,0.0,339.0,0.0,1267.0,0.0,724.0,573.0,0.0,0.0,673.0,0.0,623.0,0.0
"Candidatus Koribacter versatilis",5408.0,10336.0,12911.0,6270.0,8066.0,0.0,22561.0,7895.0,6838.0,17554.0,9137.0,1631.0,1854.0,4245.0,9235.0,8134.0,9213.0,5259.0,6435.0,6792.0,3609.0,5865.0,4371.0,13427.0,4543.0,812.0,3267.0,7569.0,4495.0,17792.0,16839.0
"Edaphobacter aggregans",1696.0,2435.0,3293.0,1510.0,1962.0,0.0,4061.0,1969.0,1596.0,3362.0,1973.0,600.0,798.0,1018.0,2142.0,1860.0,2544.0,1369.0,1579.0,1333.0,1250.0,1196.0,1576.0,2792.0,1031.0,191.0,899.0,1525.0,1586.0,2391.0,4157.0
"Granulicella mallensis",1469.0,2283.0,4688.0,2174.0,965.0,0.0,2003.0,2660.0,982.0,1463.0,1212.0,833.0,700.0,328.0,3876.0,2060.0,2149.0,1024.0,584.0,700.0,666.0,2312.0,478.0,1227.0,1961.0,263.0,1489.0,1118.0,1373.0,1179.0,1490.0
"Granulicella pectinivorans",0.0,0.0,1005.0,638.0,264.0,0.0,0.0,1049.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,277.0,0.0,221.0,0.0,719.0,0.0,369.0,278.0,0.0,0.0,382.0,0.0,374.0,0.0
"Granulicella tundricola",472.0,757.0,1105.0,1150.0,329.0,0.0,730.0,802.0,302.0,596.0,412.0,293.0,250.0,128.0,1022.0,491.0,807.0,368.0,233.0,231.0,206.0,921.0,205.0,447.0,406.0,100.0,417.0,386.0,521.0,410.0,476.0
"Granulicella sp. SCN 62-9",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
"Silvibacterium bohemicum",3169.0,5344.0,10741.0,3753.0,2278.0,0.0,4023.0,3571.0,1663.0,2215.0,2242.0,2014.0,1415.0,612.0,5730.0,3561.0,4978.0,2584.0,1023.0,1785.0,1083.0,3669.0,1205.0,2427.0,3157.0,330.0,2631.0,2685.0,3346.0,2042.0,2490.0
"Terracidiphilus gabretensis",1732.0,3334.0,6135.0,2252.0,1222.0,0.0,2584.0,2080.0,969.0,1176.0,1491.0,1078.0,1199.0,344.0,3921.0,1945.0,3262.0,1769.0,589.0,1089.0,561.0,2695.0,511.0,1594.0,2272.0,174.0,1688.0,1937.0,1786.0,1300.0,1159.0
"Terriglobus roseus",154.0,311.0,955.0,556.0,360.0,0.0,401.0,862.0,0.0,294.0,189.0,91.0,136.0,0.0,388.0,210.0,260.0,302.0,0.0,293.0,0.0,616.0,0.0,505.0,311.0,39.0,99.0,420.0,175.0,524.0,262.0
"Terriglobus saanensis",272.0,506.0,761.0,366.0,303.0,0.0,704.0,430.0,325.0,567.0,366.0,160.0,139.0,158.0,751.0,338.0,465.0,213.0,270.0,231.0,199.0,434.0,220.0,474.0,236.0,51.0,242.0,293.0,319.0,476.0,442.0
"Terriglobus sp. TAA 43",177.0,373.0,0.0,0.0,0.0,0.0,522.0,0.0,167.0,284.0,242.0,109.0,30.0,95.0,418.0,231.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,187.0,0.0,198.0,0.0,295.0
"Acidobacteriaceae bacterium KBS 146",273.0,535.0,904.0,468.0,333.0,0.0,764.0,616.0,278.0,580.0,405.0,198.0,153.0,192.0,663.0,384.0,525.0,271.0,315.0,273.0,217.0,498.0,238.0,470.0,350.0,52.0,219.0,351.0,341.0,456.0,567.0
"Acidobacteriaceae bacterium KBS 83",2275.0,3317.0,7424.0,3918.0,3257.0,0.0,5438.0,2723.0,2195.0,3488.0,2704.0,935.0,734.0,1631.0,3339.0,2919.0,3003.0,1989.0,2824.0,2367.0,2271.0,2364.0,2808.0,4406.0,2069.0,259.0,1982.0,2040.0,2710.0,3182.0,4556.0
"Acidobacteriaceae bacterium KBS 89",1517.0,2819.0,5007.0,2369.0,2154.0,0.0,3099.0,2892.0,1124.0,2974.0,1681.0,651.0,767.0,825.0,2982.0,1943.0,2013.0,1040.0,1685.0,1689.0,2289.0,2053.0,1329.0,2749.0,1446.0,286.0,1366.0,1492.0,1569.0,2076.0,2678.0
"Acidobacteriaceae bacterium TAA 166",304.0,549.0,903.0,373.0,346.0,0.0,728.0,484.0,258.0,507.0,388.0,166.0,144.0,134.0,620.0,367.0,480.0,221.0,225.0,212.0,246.0,404.0,0.0,488.0,273.0,45.0,258.0,295.0,316.0,411.0,487.0
"Acidobacteriaceae bacterium URHE0068",3276.0,7025.0,10423.0,4792.0,3857.0,0.0,8564.0,4698.0,2550.0,4274.0,4378.0,2832.0,2087.0,1331.0,6861.0,3982.0,7749.0,3981.0,2596.0,3187.0,2395.0,4152.0,1981.0,4568.0,5527.0,402.0,2536.0,4553.0,4684.0,5030.0,3724.0
"Bryobacter aggregatus",1344.0,3371.0,3646.0,2114.0,2025.0,0.0,5959.0,2136.0,1944.0,3540.0,2807.0,527.0,432.0,1121.0,3218.0,1759.0,2456.0,1787.0,1747.0,1623.0,1233.0,1997.0,1472.0,3092.0,1919.0,171.0,1024.0,2240.0,1463.0,4023.0,2789.0
"Candidatus Solibacter usitatus",11967.0,28799.0,28125.0,15198.0,15923.0,0.0,46701.0,14602.0,20178.0,27120.0,22108.0,3276.0,3302.0,9320.0,23249.0,11216.0,18151.0,12837.0,15322.0,15028.0,9488.0,15948.0,11960.0,28716.0,16753.0,1314.0,8319.0,19073.0,10506.0,42956.0,23106.0
"Pyrinomonas methylaliphatogenes",323.0,625.0,496.0,292.0,438.0,0.0,1351.0,337.0,563.0,1082.0,578.0,69.0,89.0,320.0,480.0,385.0,545.0,261.0,485.0,312.0,246.0,250.0,454.0,766.0,228.0,42.0,158.0,389.0,316.0,1112.0,960.0
"Chloracidobacterium thermophilum",54.0,147.0,0.0,0.0,0.0,0.0,281.0,0.0,178.0,273.0,133.0,0.0,0.0,93.0,107.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,259.0,218.0
"uncultured Acidobacteria bacterium",108.0,277.0,184.0,0.0,99.0,0.0,520.0,0.0,209.0,407.0,237.0,42.0,30.0,123.0,177.0,153.0,186.0,79.0,233.0,119.0,0.0,0.0,208.0,236.0,0.0,14.0,84.0,125.0,149.0,255.0,339.0
"uncultured Acidobacteria bacterium Rifle_16ft_4_minimus_2650",0.0,127.0,0.0,0.0,153.0,0.0,197.0,0.0,0.0,147.0,124.0,0.0,0.0,0.0,172.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0
"Thermoanaerobaculum aquaticum",62.0,0.0,0.0,0.0,0.0,0.0,199.0,0.0,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Acidobacteria bacterium OLB17",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Acidobacteria bacterium RBG_13_68_16",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Acidobacteria bacterium RBG_16_68_9",0.0,0.0,184.0,0.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,189.0,0.0
"Acidobacteria bacterium RBG_16_70_10",0.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,363.0,118.0,0.0,0.0,143.0,0.0,367.0,0.0
"Acidobacteria bacterium RIFCSPHIGHO2_01_FULL_67_28",0.0,0.0,507.0,334.0,516.0,0.0,0.0,419.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,198.0,0.0,404.0,0.0,340.0,0.0,617.0,243.0,0.0,0.0,347.0,0.0,723.0,0.0
"Acidobacteria bacterium RIFCSPHIGHO2_02_FULL_67_57",0.0,0.0,707.0,365.0,613.0,0.0,0.0,471.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,263.0,0.0,561.0,0.0,384.0,0.0,867.0,343.0,0.0,0.0,416.0,0.0,938.0,0.0
"Acidobacteria bacterium RIFCSPHIGHO2_12_FULL_67_30",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0
"Acidobacteria bacterium RIFCSPLOWO2_02_FULL_59_13",0.0,0.0,304.0,123.0,265.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,126.0,0.0,211.0,0.0,0.0,0.0,303.0,132.0,0.0,0.0,124.0,0.0,332.0,0.0
"Acidobacteria bacterium RIFCSPLOWO2_02_FULL_60_20",0.0,0.0,253.0,133.0,221.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,111.0,0.0,180.0,0.0,0.0,0.0,259.0,131.0,0.0,0.0,136.0,0.0,308.0,0.0
"Acidobacteria bacterium RIFCSPLOWO2_02_FULL_61_28",0.0,0.0,850.0,409.0,984.0,0.0,0.0,594.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,490.0,0.0,873.0,0.0,583.0,0.0,1182.0,511.0,0.0,0.0,744.0,0.0,1565.0,0.0
"Acidobacteria bacterium RIFCSPLOWO2_02_FULL_64_15",0.0,0.0,846.0,420.0,520.0,0.0,0.0,478.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,507.0,0.0,729.0,0.0,532.0,0.0,1080.0,583.0,0.0,0.0,580.0,0.0,1051.0,0.0
"Acidobacteria bacterium RIFCSPLOWO2_02_FULL_65_29",0.0,0.0,2258.0,1060.0,1673.0,0.0,0.0,1264.0,0.0,0.0,0.0,0.0,327.0,0.0,0.0,0.0,0.0,1218.0,0.0,2150.0,0.0,1255.0,0.0,3105.0,1368.0,0.0,0.0,1670.0,0.0,3392.0,0.0
"Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_21",0.0,0.0,200.0,121.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,119.0,0.0,193.0,0.0,0.0,0.0,274.0,109.0,0.0,0.0,147.0,0.0,368.0,0.0
"Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_36",0.0,0.0,392.0,174.0,287.0,0.0,0.0,224.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,166.0,0.0,373.0,0.0,0.0,0.0,763.0,299.0,0.0,0.0,309.0,0.0,631.0,0.0
"Acidobacteria bacterium RIFCSPLOWO2_02_FULL_68_18",0.0,0.0,1056.0,599.0,1010.0,0.0,0.0,707.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,701.0,0.0,1005.0,0.0,537.0,0.0,1220.0,580.0,0.0,0.0,1000.0,0.0,1915.0,0.0
"Acidobacteria bacterium RIFCSPLOWO2_12_FULL_54_10",0.0,0.0,519.0,197.0,395.0,0.0,0.0,233.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,176.0,0.0,282.0,0.0,279.0,0.0,404.0,221.0,0.0,0.0,271.0,0.0,485.0,0.0
"Acidobacteria bacterium RIFCSPLOWO2_12_FULL_59_11",0.0,0.0,228.0,141.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,120.0,0.0,176.0,0.0,0.0,0.0,272.0,140.0,0.0,0.0,162.0,0.0,358.0,0.0
"Acidobacteria bacterium RIFCSPLOWO2_12_FULL_60_22",0.0,0.0,1013.0,553.0,1075.0,0.0,0.0,654.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,588.0,0.0,935.0,0.0,664.0,0.0,1297.0,460.0,0.0,0.0,798.0,0.0,1907.0,0.0
"Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_10",0.0,0.0,255.0,119.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,122.0,0.0,264.0,0.0,0.0,0.0,471.0,171.0,0.0,0.0,177.0,0.0,438.0,0.0
"Acidobacteria bacterium RIFCSPLOWO2_12_FULL_67_14",0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Acidobacteria bacterium RIFCSPLOWO2_12_FULL_67_14b",0.0,0.0,627.0,286.0,425.0,0.0,0.0,349.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,307.0,0.0,484.0,0.0,359.0,0.0,814.0,349.0,0.0,0.0,485.0,0.0,965.0,0.0
"Acidobacteria bacterium RIFCSPLOWO2_12_FULL_68_19",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0
"Acidobacteria bacterium SCGC AG-212-P17",241.0,455.0,440.0,218.0,525.0,0.0,1276.0,237.0,399.0,792.0,458.0,44.0,88.0,204.0,278.0,257.0,437.0,249.0,287.0,251.0,223.0,0.0,228.0,1065.0,182.0,22.0,161.0,390.0,211.0,1742.0,594.0
"Acidobacteria bacterium SCN 69-37",192.0,485.0,227.0,121.0,200.0,0.0,1128.0,194.0,996.0,786.0,648.0,50.0,50.0,508.0,405.0,220.0,412.0,100.0,1240.0,277.0,1111.0,0.0,1651.0,491.0,256.0,28.0,158.0,188.0,912.0,284.0,695.0
"Candidatus Methylomirabilis oxyfera",0.0,0.0,0.0,0.0,0.0,0.0,226.0,0.0,158.0,126.0,85.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0
"candidate division NC10 bacterium CSP1-5",0.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0,209.0,199.0,111.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0
"Candidatus Dadabacteria bacterium CSP1-2",0.0,0.0,0.0,0.0,0.0,0.0,205.0,0.0,0.0,137.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0
"Candidatus Handelsmanbacteria bacterium RIFCSPLOWO2_12_FULL_64_10",0.0,0.0,195.0,135.0,211.0,0.0,0.0,174.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,141.0,0.0,200.0,0.0,0.0,0.0,439.0,108.0,0.0,0.0,180.0,0.0,540.0,0.0
"Candidatus Rokubacteria bacterium CSP1-6",90.0,212.0,0.0,0.0,0.0,0.0,900.0,0.0,1696.0,840.0,473.0,31.0,0.0,525.0,134.0,111.0,128.0,0.0,980.0,0.0,185.0,0.0,971.0,0.0,0.0,12.0,57.0,0.0,516.0,0.0,596.0
